Carrier,ID ,Search Ring Name ID,Block,Lot,Zoning District,Hight and Bulk District,Type of Building,Preference (1-7),Type of Consumer Services,Type of Consumer Products,Number of Antennas,Location of BTS,Type of Technology,Radio Frequency Range (Megahertz),Power Output of Equipment (Watts),Height to Top of Antenna,Name of Community Liason,Phone Number of Community Liason,Comments,Location 1
AT&T,CCL00461,Richmond District,1518,33,NC-3,40-X,Commercial,4,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,63,Jim Sidorick,925-277-6026,,"{'latitude': '37.779753', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.48627'}"
AT&T,CCL00463,Fianancial District,116,020B,NCD-NORTH BEACH,40-X,Public,6,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,83,Jim Sidorick,925-277-6026,,"{'latitude': '37.800003', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40867'}"
AT&T,CCL00464,Ferry Building ,3769,002A,RH DTR/M-1,84-X,Commercial,4,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,97,Jim Sidorick,925-277-6026,,"{'latitude': '37.789013', 'needs_recoding': False, 'human_address': '{""address"":""24th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.38868'}"
AT&T,CCL00477,Innerside,1763,22,NCD-INNER SUNSET,40-X,Commercial,6,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,85,Jim Sidorick,925-277-6026,,"{'latitude': '37.762392', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.46586'}"
AT&T,CCL00497,6th & Townsend,3783,8,UMU,68-X,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,62,Jim Sidorick,925-277-6026,,"{'latitude': '37.772333', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40254'}"
AT&T,CCL00523,SF VA Hospital,1313,23,P,40-X,Public,1,"voice, video & data",wireless phones & modems,10,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,68,Jim Sidorick,925-277-6026,,"{'latitude': '37.781667', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.50461'}"
AT&T,CCL00538,Bayshore & 280,5851,24,P,40-X,Commercial,1,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,73,Jim Sidorick,925-277-6026,,"{'latitude': '37.735319', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40764'}"
AT&T,CCL00567,Bay Bridge West,3741,32,C-3-O(SD),200-S,Commercial,N/A,"voice, video & data",wireless phones & modems,13,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,256,Jim Sidorick,925-277-6026,,"{'latitude': '37.791309', 'needs_recoding': False, 'human_address': '{""address"":""25th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39198'}"
AT&T,CCL00575,St. Ignatius,2094,6,RH-1,40-X,Commercial,1,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,55,Jim Sidorick,925-277-6026,,"{'latitude': '37.748036', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.49594'}"
AT&T,CCL00703,South Pak,3788,41,SLI,65-X,Public,4,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,77,Jim Sidorick,925-277-6026,CCL04130 is a proposed replacement for CCL00703,"{'latitude': '37.779683', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39281'}"
AT&T,CCL00708,Mission District,3962,10,UMU,58-X,Commercial,1,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,61,Jim Sidorick,925-277-6026,CCL03306 is a proposed replacement for CCL00708,"{'latitude': '37.764672', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40817'}"
AT&T,CCL00709,Mission Dolores,3542,17,NCT-Upper Mkt,40-X/50-X,Commercial,N/A,"voice, video & data",wireless phones & modems,5,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,65,Jim Sidorick,925-277-6026,,"{'latitude': '37.766606', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.43041'}"
AT&T,CCL00710,Upper North Beach,28,16,C-2,40-X,Commercial,7,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,48,Jim Sidorick,925-277-6026,,"{'latitude': '37.805843', 'needs_recoding': False, 'human_address': '{""address"":""26th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4178'}"
AT&T,CCL00724,Lower Mission ,6575,1,RH-2,105-E/145-E,Public,1,"voice, video & data",wireless phones & modems,11,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,75,Jim Sidorick,925-277-6026,CCL03217 is a proposed replacement for CCL00724,"{'latitude': '37.747681', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42092'}"
AT&T,CCL00725,Ingleside,3198,16,NCT-Ocean,45-X,Commercial,N/A,"voice, video & data",wireless phones & modems,7,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,46,Jim Sidorick,925-277-6026,,"{'latitude': '37.72435', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.45714'}"
AT&T,CCL00741,Union/Cow Hollow,541,24,UNION,40-X,Commercial,6,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,57,Jim Sidorick,925-277-6026,,"{'latitude': '37.797058', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4324'}"
AT&T,CCL00866,Lowe Telegraph Hill ,164,12,C-2,65-A,Commercial,4,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,82,Jim Sidorick,925-277-6026,,"{'latitude': '37.797778', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40361'}"
AT&T,CCL00871,North Sunset,1865,4,RH-2,40-X,Public,1,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,48,Jim Sidorick,925-277-6026,,"{'latitude': '37.759286', 'needs_recoding': False, 'human_address': '{""address"":""27th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.47752'}"
AT&T,CCL01036,Hunter's Pt,4591A,7,M-2/HP-RA,40-X,Commercial,N/A,"voice, video & data",wireless phones & modems,12,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,57,Jim Sidorick,925-277-6026,,"{'latitude': '37.726955', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.37774'}"
AT&T,CCL01046,Excelsior,6409,28,NCD-Excelsior,65-A,Commercial,4,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,55,Jim Sidorick,925-277-6026,,"{'latitude': '37.715805', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.43972'}"
AT&T,CCL01231,Waller & Octavia ,3503,3,NCT-3,85-X,Commercial,5,"voice, video & data",wireless phones & modems,9,Interior,"UMTS, LTE","700, 850, 1900,1700,2300",16650,54,Jim Sidorick,925-277-6026,,"{'latitude': '37.77177', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42301'}"
AT&T,CCL01253,Castle & Union ,108,7,C-2,40-X,Public,PU,"voice, video & data",wireless phones & modems,9,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,50,Jim Sidorick,925-277-6026,,"{'latitude': '37.801836', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40088'}"
AT&T,CCL01255,California & Powell ,243,17,RM-4,65-A,Commercial,1,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,61,Jim Sidorick,925-277-6026,,"{'latitude': '37.792328', 'needs_recoding': False, 'human_address': '{""address"":""28th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40901'}"
AT&T,CCL01256,Wisconsin & 19th St,4007,2,PDR-1-G,40-X,Commercial,PU,"voice, video & data",wireless phones & modems,9,Ground Fl ,"UMTS, LTE","700, 850, 1900,1700,2300",16650,63,Jim Sidorick,925-277-6026,,"{'latitude': '37.762645', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40091'}"
AT&T,CCL01748,FRANCISCO ST. - POWELL ST.,15,1,C-2,40-X,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,44,Jim Sidorick,925-277-6026,,"{'latitude': '37.808361', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41211'}"
AT&T,CCL01751,Clay & Jones ,253,20,RM-4,65-A,Public,N/A,"voice, video & data",wireless phones & modems,2,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",7182,83,Jim Sidorick,925-277-6026,,"{'latitude': '37.791417', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41283'}"
AT&T,CCL01753,LEIDESDORFF & CALIFORNIA,240,1,C-3-O,250-S,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,48,Jim Sidorick,925-277-6026,,"{'latitude': '37.793655', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.4031'}"
AT&T,CCL01755,HWY 280 & DIVISION,3910,1,PDR-1-D,45-X,Commercial,N/A,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,60,Jim Sidorick,925-277-6026,,"{'latitude': '37.76962', 'needs_recoding': False, 'human_address': '{""address"":""29th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40443'}"
AT&T,CCL01757,Fillmore & Broadway,636,22,NCD-Fillmore,40-X,Commercial,N/A,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,32,Jim Sidorick,925-277-6026,CCL05455 is a proposed replacement for CCL01757,"{'latitude': '37.78944', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.43372'}"
AT&T,CCL01760,15th & Florida,3928,13,PDR-1-G,68-X,Public,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,51,Jim Sidorick,925-277-6026,,"{'latitude': '37.766258', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41138'}"
AT&T,CCL01762,Child & Lombard  ,89,1,NCD-NORTH BEACH ,40-X,Commercial,N/A,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,25,Jim Sidorick,925-277-6026,,"{'latitude': '37.80221', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40966'}"
AT&T,CCL01770,CALIFORNIA &DAVIS,234,17,C-3-O,200-S,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,44,Jim Sidorick,925-277-6026,,"{'latitude': '37.79389', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39583'}"
AT&T,CCL01771,HWY 101 & BAYSHORE,5286A,3,PDR-2,65-J,Commercial,N/A,"voice, video & data",wireless phones & modems,9,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,42,Jim Sidorick,925-277-6026,,"{'latitude': '37.744022', 'needs_recoding': False, 'human_address': '{""address"":""30th"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40246'}"
AT&T,CCL01848,PACIFIC AV AND JONES ST,183,1,NCD-PACIFIC,40-X,Public,N/A,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,25,Jim Sidorick,925-277-6026,,"{'latitude': '37.795723', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41517'}"
AT&T,CCL01852,HYDE - BAY ST,452,8,C-2,40-X,Commercial,6,"voice, video & data",wireless phones & modems,6,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",16650,78,Jim Sidorick,925-277-6026,,"{'latitude': '37.805609', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.42224'}"
AT&T,CCL02076,4TH - CABRILLO,1549,18,NC-2,40-X,Commercial,N/A,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,24,Jim Sidorick,925-277-6026,CCL05867 is a proposed replacement for CCL02076,"{'latitude': '37.777336', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.46414'}"
AT&T,CCL02102,CLAREMONT & PORTOLA,2989B,32,NCD-West Portal,26-X,Commercial,N/A,"voice, video & data",wireless phones & modems,2,Basement,"UMTS, LTE","700, 850, 1900,1700,2300",7182,31,Jim Sidorick,925-277-6026,,"{'latitude': '37.739469', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.46704'}"
AT&T,CCL02264,Geary & Powell ,296,6,C-3-R,80-130F,Public,PU,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,47,Jim Sidorick,925-277-6026,,"{'latitude': '37.788406', 'needs_recoding': False, 'human_address': '{""address"":""31st"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.40861'}"
AT&T,CCL02271,3rd & Folsom ,3750,087-088,C-3-S,200-S,Commercial,PU,"voice, video & data",wireless phones & modems,16,Interior,"UMTS, LTE","700, 850, 1900,1700,2300",16650,50,Jim Sidorick,925-277-6026,,"{'latitude': '37.784953', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39651'}"
AT&T,CCL02357,Market & 7th,350,4,C-3-G,120-X,Commercial,PU+HC,"voice, video & data",wireless phones & modems,6,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,60,Jim Sidorick,925-277-6026,,"{'latitude': '37.781451', 'needs_recoding': False, 'human_address': '{""address"":""Van Ness"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41178'}"
AT&T,CCL02362,Spear St & Mission St,3748,31,RH-DTR,85-400-R,Commercial,2,"voice, video & data",wireless phones & modems,9,Lower Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,59,Jim Sidorick,925-277-6026,,"{'latitude': '37.786481', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39303'}"
AT&T,CCL02423,PAGE ST/SHRADER ST,1248,1,NCD-Haight,40-X,Public,6,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,47,Jim Sidorick,925-277-6026,,"{'latitude': '37.769309', 'needs_recoding': False, 'human_address': '{""address"":""Sacramento"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.45096'}"
AT&T,CCL02425,Taylor & Sutter ,283,9,C-3-G,160-F,Commercial,PU,"voice, video & data",wireless phones & modems,9,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,92,Jim Sidorick,925-277-6026,,"{'latitude': '37.789033', 'needs_recoding': False, 'human_address': '{""address"":""32nd"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.41178'}"
AT&T,CCL02426,Spear & Howard ,3715,3,C-2/C-3-O,84-X,Commercial,PU,"voice, video & data",wireless phones & modems,12,Roof,"UMTS, LTE","700, 850, 1900,1700,2300",16650,95,Jim Sidorick,925-277-6026,,"{'latitude': '37.793047', 'needs_recoding': False, 'human_address': '{""address"":""Mission"",""city"":"""",""state"":"""",""zip"":""""}', 'longitude': '-122.39255'}"
