Sex,Age Group,First Year,Last Year,Rank,Cause of Death,Deaths
Females,25-34 yrs,2008.0,2008.0,10.0,Septicemia,171.0
Females,35-44 yrs,2008.0,2008.0,1.0,Malignant Neoplasms,7207.0
Females,35-44 yrs,2008.0,2008.0,2.0,Unintentional Injury,4743.0
Females,35-44 yrs,2008.0,2008.0,3.0,Heart Disease,3484.0
Females,35-44 yrs,2008.0,2008.0,4.0,Suicide,1578.0
Females,35-44 yrs,2008.0,2008.0,5.0,Cerebrovascular,952.0
Females,35-44 yrs,2008.0,2008.0,6.0,HIV,891.0
Females,35-44 yrs,2008.0,2008.0,7.0,Liver Disease,877.0
Females,35-44 yrs,2008.0,2008.0,8.0,Diabetes Mellitus,711.0
Females,35-44 yrs,2008.0,2008.0,9.0,Homicide,658.0
Females,35-44 yrs,2008.0,2008.0,10.0,Septicemia,426.0
Females,45-54 yrs,2008.0,2008.0,1.0,Malignant Neoplasms,24678.0
Females,45-54 yrs,2008.0,2008.0,2.0,Heart Disease,11021.0
Females,45-54 yrs,2008.0,2008.0,3.0,Unintentional Injury,6472.0
Females,45-54 yrs,2008.0,2008.0,4.0,Cerebrovascular,2766.0
Females,45-54 yrs,2008.0,2008.0,5.0,Liver Disease,2441.0
Females,45-54 yrs,2008.0,2008.0,6.0,Chronic Low. Respiratory Disease,2180.0
Females,45-54 yrs,2008.0,2008.0,7.0,Diabetes Mellitus,2130.0
Females,45-54 yrs,2008.0,2008.0,8.0,Suicide,2041.0
Females,45-54 yrs,2008.0,2008.0,9.0,Septicemia,1179.0
Females,45-54 yrs,2008.0,2008.0,10.0,Influenza & Pneumonia,1009.0
Females,55-64 yrs,2008.0,2008.0,1.0,Malignant Neoplasms,46549.0
Females,55-64 yrs,2008.0,2008.0,2.0,Heart Disease,20441.0
Females,55-64 yrs,2008.0,2008.0,3.0,Chronic Low. Respiratory Disease,6679.0
Females,55-64 yrs,2008.0,2008.0,4.0,Diabetes Mellitus,4678.0
Females,55-64 yrs,2008.0,2008.0,5.0,Cerebrovascular,4607.0
Females,55-64 yrs,2008.0,2008.0,6.0,Unintentional Injury,3891.0
Females,55-64 yrs,2008.0,2008.0,7.0,Liver Disease,2418.0
Females,55-64 yrs,2008.0,2008.0,8.0,Septicemia,2138.0
Females,55-64 yrs,2008.0,2008.0,9.0,Nephritis,2130.0
Females,55-64 yrs,2008.0,2008.0,10.0,Influenza & Pneumonia,1552.0
Females,65+ yrs,2008.0,2008.0,1.0,Heart Disease,268893.0
Females,65+ yrs,2008.0,2008.0,2.0,Malignant Neoplasms,188746.0
Females,65+ yrs,2008.0,2008.0,3.0,Cerebrovascular,71819.0
Females,65+ yrs,2008.0,2008.0,4.0,Chronic Low. Respiratory Disease,64414.0
Females,65+ yrs,2008.0,2008.0,5.0,Alzheimer's Disease,57445.0
Females,65+ yrs,2008.0,2008.0,6.0,Diabetes Mellitus,27340.0
Females,65+ yrs,2008.0,2008.0,7.0,Influenza & Pneumonia,27296.0
Females,65+ yrs,2008.0,2008.0,8.0,Nephritis,21100.0
Females,65+ yrs,2008.0,2008.0,9.0,Unintentional Injury,19767.0
Females,65+ yrs,2008.0,2008.0,10.0,Septicemia,15384.0
Females,<1 yrs,2009.0,2009.0,1.0,Congenital Anomalies,2553.0
Females,<1 yrs,2009.0,2009.0,2.0,Short Gestation,1991.0
Females,<1 yrs,2009.0,2009.0,3.0,SIDS,922.0
Females,<1 yrs,2009.0,2009.0,4.0,Maternal Pregnancy Comp.,696.0
Females,<1 yrs,2009.0,2009.0,5.0,Placenta  Cord Membranes,491.0
Females,<1 yrs,2009.0,2009.0,6.0,Unintentional Injury,482.0
Females,<1 yrs,2009.0,2009.0,7.0,Bacterial Sepsis,284.0
Females,<1 yrs,2009.0,2009.0,8.0,Circulatory System Disease,254.0
Females,<1 yrs,2009.0,2009.0,9.0,Respiratory Distress,243.0
Females,<1 yrs,2009.0,2009.0,10.0,Necrotizing Enterocolitis,207.0
Females,1-4 yrs,2009.0,2009.0,1.0,Unintentional Injury,541.0
Females,1-4 yrs,2009.0,2009.0,2.0,Congenital Anomalies,234.0
Females,1-4 yrs,2009.0,2009.0,3.0,Homicide,188.0
Females,1-4 yrs,2009.0,2009.0,4.0,Malignant Neoplasms,170.0
Females,1-4 yrs,2009.0,2009.0,5.0,Influenza & Pneumonia,82.0
Females,1-4 yrs,2009.0,2009.0,6.0,Heart Disease,77.0
Females,1-4 yrs,2009.0,2009.0,7.0,Septicemia,31.0
Females,1-4 yrs,2009.0,2009.0,8.0,Chronic Low. Respiratory Disease,30.0
Females,1-4 yrs,2009.0,2009.0,9.0,Perinatal Period,25.0
Females,1-4 yrs,2009.0,2009.0,10.0,Benign Neoplasms,23.0
Females,5-9 yrs,2009.0,2009.0,1.0,Unintentional Injury,313.0
Females,5-9 yrs,2009.0,2009.0,2.0,Malignant Neoplasms,212.0
Females,5-9 yrs,2009.0,2009.0,3.0,Congenital Anomalies,88.0
Females,5-9 yrs,2009.0,2009.0,4.0,Heart Disease,59.0
Females,5-9 yrs,2009.0,2009.0,5.0,Homicide,58.0
Females,5-9 yrs,2009.0,2009.0,6.0,Influenza & Pneumonia,47.0
Females,5-9 yrs,2009.0,2009.0,7.0,Chronic Low. Respiratory Disease,26.0
Females,5-9 yrs,2009.0,2009.0,8.0,Septicemia,18.0
Females,5-9 yrs,2009.0,2009.0,9.0,Benign Neoplasms,17.0
Females,5-9 yrs,2009.0,2009.0,10.0,Cerebrovascular,14.0
Females,10-14 yrs,2009.0,2009.0,1.0,Unintentional Injury,324.0
Females,10-14 yrs,2009.0,2009.0,2.0,Malignant Neoplasms,196.0
Females,10-14 yrs,2009.0,2009.0,3.0,Suicide,88.0
Females,10-14 yrs,2009.0,2009.0,4.0,Congenital Anomalies,70.0
Females,10-14 yrs,2009.0,2009.0,5.0,Influenza & Pneumonia,67.0
Females,10-14 yrs,2009.0,2009.0,6.0,Homicide,51.0
Females,10-14 yrs,2009.0,2009.0,7.0,Heart Disease,46.0
Females,10-14 yrs,2009.0,2009.0,8.0,Septicemia,25.0
Females,10-14 yrs,2009.0,2009.0,9.0,Chronic Low. Respiratory Disease,20.0
Females,10-14 yrs,2009.0,2009.0,10.0,Benign Neoplasms,17.0
Females,15-24 yrs,2009.0,2009.0,1.0,Unintentional Injury,3219.0
Females,15-24 yrs,2009.0,2009.0,2.0,Suicide,776.0
Females,15-24 yrs,2009.0,2009.0,3.0,Homicide,657.0
Females,15-24 yrs,2009.0,2009.0,4.0,Malignant Neoplasms,643.0
Females,15-24 yrs,2009.0,2009.0,5.0,Heart Disease,348.0
Females,15-24 yrs,2009.0,2009.0,6.0,Complicated Pregnancy,227.0
Females,15-24 yrs,2009.0,2009.0,7.0,Congenital Anomalies,194.0
Females,15-24 yrs,2009.0,2009.0,7.0,Influenza & Pneumonia,194.0
Females,15-24 yrs,2009.0,2009.0,8.0,Cerebrovascular,85.0
Females,15-24 yrs,2009.0,2009.0,9.0,Chronic Low. Respiratory Disease,79.0
Females,25-34 yrs,2009.0,2009.0,1.0,Unintentional Injury,3530.0
Females,25-34 yrs,2009.0,2009.0,2.0,Malignant Neoplasms,1852.0
Females,25-34 yrs,2009.0,2009.0,3.0,Suicide,1027.0
Females,25-34 yrs,2009.0,2009.0,4.0,Heart Disease,1010.0
Females,25-34 yrs,2009.0,2009.0,5.0,Homicide,741.0
Females,25-34 yrs,2009.0,2009.0,6.0,Complicated Pregnancy,403.0
Females,25-34 yrs,2009.0,2009.0,7.0,Influenza & Pneumonia,385.0
Females,25-34 yrs,2009.0,2009.0,8.0,HIV,320.0
Females,25-34 yrs,2009.0,2009.0,9.0,Diabetes Mellitus,251.0
Females,25-34 yrs,2009.0,2009.0,10.0,Cerebrovascular,239.0
Females,35-44 yrs,2009.0,2009.0,1.0,Malignant Neoplasms,7121.0
Females,35-44 yrs,2009.0,2009.0,2.0,Unintentional Injury,4453.0
Females,35-44 yrs,2009.0,2009.0,3.0,Heart Disease,3343.0
Females,35-44 yrs,2009.0,2009.0,4.0,Suicide,1535.0
Females,35-44 yrs,2009.0,2009.0,5.0,Cerebrovascular,872.0
Females,35-44 yrs,2009.0,2009.0,6.0,Liver Disease,833.0
Females,35-44 yrs,2009.0,2009.0,7.0,HIV,736.0
Females,35-44 yrs,2009.0,2009.0,8.0,Diabetes Mellitus,664.0
Females,35-44 yrs,2009.0,2009.0,9.0,Homicide,640.0
Females,35-44 yrs,2009.0,2009.0,10.0,Influenza & Pneumonia,582.0
Females,45-54 yrs,2009.0,2009.0,1.0,Malignant Neoplasms,25169.0
Females,45-54 yrs,2009.0,2009.0,2.0,Heart Disease,10495.0
Females,45-54 yrs,2009.0,2009.0,3.0,Unintentional Injury,6520.0
Females,45-54 yrs,2009.0,2009.0,4.0,Cerebrovascular,2778.0
Females,45-54 yrs,2009.0,2009.0,5.0,Liver Disease,2620.0
Females,45-54 yrs,2009.0,2009.0,6.0,Chronic Low. Respiratory Disease,2394.0
Females,45-54 yrs,2009.0,2009.0,7.0,Suicide,2129.0
Females,45-54 yrs,2009.0,2009.0,8.0,Diabetes Mellitus,2123.0
Females,45-54 yrs,2009.0,2009.0,9.0,Influenza & Pneumonia,1360.0
Females,45-54 yrs,2009.0,2009.0,10.0,Septicemia,1119.0
Females,55-64 yrs,2009.0,2009.0,1.0,Malignant Neoplasms,47771.0
Females,55-64 yrs,2009.0,2009.0,2.0,Heart Disease,20459.0
Females,55-64 yrs,2009.0,2009.0,3.0,Chronic Low. Respiratory Disease,6806.0
Females,55-64 yrs,2009.0,2009.0,4.0,Cerebrovascular,4546.0
Females,55-64 yrs,2009.0,2009.0,5.0,Diabetes Mellitus,4524.0
Females,55-64 yrs,2009.0,2009.0,6.0,Unintentional Injury,3973.0
Females,55-64 yrs,2009.0,2009.0,7.0,Liver Disease,2680.0
Females,55-64 yrs,2009.0,2009.0,8.0,Septicemia,2183.0
Females,55-64 yrs,2009.0,2009.0,9.0,Nephritis,2085.0
Females,55-64 yrs,2009.0,2009.0,10.0,Influenza & Pneumonia,1809.0
Females,65+ yrs,2009.0,2009.0,1.0,Heart Disease,256174.0
Females,65+ yrs,2009.0,2009.0,2.0,Malignant Neoplasms,187692.0
Females,65+ yrs,2009.0,2009.0,3.0,Cerebrovascular,68136.0
Females,65+ yrs,2009.0,2009.0,4.0,Chronic Low. Respiratory Disease,62340.0
Females,65+ yrs,2009.0,2009.0,5.0,Alzheimer's Disease,54652.0
Females,65+ yrs,2009.0,2009.0,6.0,Diabetes Mellitus,25995.0
Females,65+ yrs,2009.0,2009.0,7.0,Influenza & Pneumonia,23937.0
Females,65+ yrs,2009.0,2009.0,8.0,Nephritis,21322.0
Females,65+ yrs,2009.0,2009.0,9.0,Unintentional Injury,19634.0
Females,65+ yrs,2009.0,2009.0,10.0,Septicemia,15074.0
Females,<1 yrs,2010.0,2010.0,1.0,Congenital Anomalies,2489.0
Females,<1 yrs,2010.0,2010.0,2.0,Short Gestation,1829.0
Females,<1 yrs,2010.0,2010.0,3.0,SIDS,852.0
Females,<1 yrs,2010.0,2010.0,4.0,Maternal Pregnancy Comp.,705.0
Females,<1 yrs,2010.0,2010.0,5.0,Placenta  Cord Membranes,477.0
Females,<1 yrs,2010.0,2010.0,6.0,Unintentional Injury,473.0
Females,<1 yrs,2010.0,2010.0,7.0,Bacterial Sepsis,258.0
Females,<1 yrs,2010.0,2010.0,8.0,Circulatory System Disease,221.0
Females,<1 yrs,2010.0,2010.0,9.0,Respiratory Distress,202.0
Females,<1 yrs,2010.0,2010.0,10.0,Necrotizing Enterocolitis,194.0
Females,1-4 yrs,2010.0,2010.0,1.0,Unintentional Injury,526.0
Females,1-4 yrs,2010.0,2010.0,2.0,Congenital Anomalies,276.0
Females,1-4 yrs,2010.0,2010.0,3.0,Homicide,154.0
Females,1-4 yrs,2010.0,2010.0,4.0,Malignant Neoplasms,149.0
Females,1-4 yrs,2010.0,2010.0,5.0,Heart Disease,69.0
Females,1-4 yrs,2010.0,2010.0,6.0,Influenza & Pneumonia,41.0
Females,1-4 yrs,2010.0,2010.0,7.0,Septicemia,32.0
Females,1-4 yrs,2010.0,2010.0,8.0,Benign Neoplasms,27.0
Females,1-4 yrs,2010.0,2010.0,9.0,Cerebrovascular,24.0
Females,1-4 yrs,2010.0,2010.0,10.0,Chronic Low. Respiratory Disease,23.0
Females,5-9 yrs,2010.0,2010.0,1.0,Unintentional Injury,275.0
Females,5-9 yrs,2010.0,2010.0,2.0,Malignant Neoplasms,200.0
Females,5-9 yrs,2010.0,2010.0,3.0,Congenital Anomalies,82.0
Females,5-9 yrs,2010.0,2010.0,4.0,Homicide,49.0
Females,5-9 yrs,2010.0,2010.0,5.0,Heart Disease,34.0
Females,5-9 yrs,2010.0,2010.0,6.0,Influenza & Pneumonia,22.0
Females,5-9 yrs,2010.0,2010.0,7.0,Benign Neoplasms,20.0
Females,5-9 yrs,2010.0,2010.0,7.0,Cerebrovascular,20.0
Females,5-9 yrs,2010.0,2010.0,8.0,Chronic Low. Respiratory Disease,16.0
Females,5-9 yrs,2010.0,2010.0,8.0,Septicemia,16.0
Females,10-14 yrs,2010.0,2010.0,1.0,Unintentional Injury,316.0
Females,10-14 yrs,2010.0,2010.0,2.0,Malignant Neoplasms,234.0
Females,10-14 yrs,2010.0,2010.0,3.0,Suicide,87.0
Females,10-14 yrs,2010.0,2010.0,4.0,Congenital Anomalies,68.0
Females,10-14 yrs,2010.0,2010.0,5.0,Heart Disease,55.0
Females,10-14 yrs,2010.0,2010.0,6.0,Homicide,46.0
Females,10-14 yrs,2010.0,2010.0,7.0,Benign Neoplasms,27.0
Females,10-14 yrs,2010.0,2010.0,7.0,Chronic Low. Respiratory Disease,27.0
Females,10-14 yrs,2010.0,2010.0,8.0,Cerebrovascular,16.0
Females,10-14 yrs,2010.0,2010.0,8.0,Influenza & Pneumonia,16.0
Females,15-24 yrs,2010.0,2010.0,1.0,Unintentional Injury,3253.0
Females,15-24 yrs,2010.0,2010.0,2.0,Suicide,829.0
Females,15-24 yrs,2010.0,2010.0,3.0,Homicide,611.0
Females,15-24 yrs,2010.0,2010.0,4.0,Malignant Neoplasms,607.0
Females,15-24 yrs,2010.0,2010.0,5.0,Heart Disease,309.0
Females,15-24 yrs,2010.0,2010.0,6.0,Complicated Pregnancy,163.0
Females,15-24 yrs,2010.0,2010.0,7.0,Congenital Anomalies,161.0
Females,15-24 yrs,2010.0,2010.0,8.0,Cerebrovascular,83.0
Females,15-24 yrs,2010.0,2010.0,9.0,Influenza & Pneumonia,76.0
Females,15-24 yrs,2010.0,2010.0,10.0,Diabetes Mellitus,75.0
Females,25-34 yrs,2010.0,2010.0,1.0,Unintentional Injury,3770.0
Females,25-34 yrs,2010.0,2010.0,2.0,Malignant Neoplasms,1835.0
Females,25-34 yrs,2010.0,2010.0,3.0,Suicide,1092.0
Females,25-34 yrs,2010.0,2010.0,4.0,Heart Disease,1010.0
Females,25-34 yrs,2010.0,2010.0,5.0,Homicide,684.0
Females,25-34 yrs,2010.0,2010.0,6.0,Complicated Pregnancy,367.0
Females,25-34 yrs,2010.0,2010.0,7.0,Diabetes Mellitus,262.0
Females,25-34 yrs,2010.0,2010.0,8.0,HIV,259.0
Females,25-34 yrs,2010.0,2010.0,9.0,Cerebrovascular,253.0
Females,25-34 yrs,2010.0,2010.0,10.0,Liver Disease,180.0
Females,35-44 yrs,2010.0,2010.0,1.0,Malignant Neoplasms,6663.0
Females,35-44 yrs,2010.0,2010.0,2.0,Unintentional Injury,4596.0
Females,35-44 yrs,2010.0,2010.0,3.0,Heart Disease,3228.0
Females,35-44 yrs,2010.0,2010.0,4.0,Suicide,1538.0
Females,35-44 yrs,2010.0,2010.0,5.0,Cerebrovascular,875.0
Females,35-44 yrs,2010.0,2010.0,6.0,Liver Disease,811.0
Females,35-44 yrs,2010.0,2010.0,7.0,Diabetes Mellitus,728.0
Females,35-44 yrs,2010.0,2010.0,8.0,HIV,604.0
Females,35-44 yrs,2010.0,2010.0,9.0,Homicide,595.0
Females,35-44 yrs,2010.0,2010.0,10.0,Chronic Low. Respiratory Disease,375.0
Females,45-54 yrs,2010.0,2010.0,1.0,Malignant Neoplasms,25023.0
Females,45-54 yrs,2010.0,2010.0,2.0,Heart Disease,10642.0
Females,45-54 yrs,2010.0,2010.0,3.0,Unintentional Injury,6489.0
Females,45-54 yrs,2010.0,2010.0,4.0,Liver Disease,2755.0
Females,45-54 yrs,2010.0,2010.0,5.0,Cerebrovascular,2611.0
Females,45-54 yrs,2010.0,2010.0,6.0,Chronic Low. Respiratory Disease,2399.0
Females,45-54 yrs,2010.0,2010.0,7.0,Diabetes Mellitus,2082.0
Females,45-54 yrs,2010.0,2010.0,8.0,Suicide,2066.0
Females,45-54 yrs,2010.0,2010.0,9.0,Septicemia,1079.0
Females,45-54 yrs,2010.0,2010.0,10.0,Nephritis,976.0
Females,55-64 yrs,2010.0,2010.0,1.0,Malignant Neoplasms,48801.0
Females,55-64 yrs,2010.0,2010.0,2.0,Heart Disease,20644.0
Females,55-64 yrs,2010.0,2010.0,3.0,Chronic Low. Respiratory Disease,6823.0
Females,55-64 yrs,2010.0,2010.0,4.0,Cerebrovascular,4584.0
Females,55-64 yrs,2010.0,2010.0,5.0,Diabetes Mellitus,4555.0
Females,55-64 yrs,2010.0,2010.0,6.0,Unintentional Injury,4414.0
Females,55-64 yrs,2010.0,2010.0,7.0,Liver Disease,2817.0
Females,55-64 yrs,2010.0,2010.0,8.0,Nephritis,2198.0
Females,55-64 yrs,2010.0,2010.0,9.0,Septicemia,2159.0
Females,55-64 yrs,2010.0,2010.0,10.0,Suicide,1515.0
Females,65+ yrs,2010.0,2010.0,1.0,Heart Disease,254173.0
Females,65+ yrs,2010.0,2010.0,2.0,Malignant Neoplasms,190163.0
Females,65+ yrs,2010.0,2010.0,3.0,Cerebrovascular,68576.0
Females,65+ yrs,2010.0,2010.0,4.0,Chronic Low. Respiratory Disease,62826.0
Females,65+ yrs,2010.0,2010.0,5.0,Alzheimer's Disease,57621.0
Females,65+ yrs,2010.0,2010.0,6.0,Diabetes Mellitus,25864.0
Females,65+ yrs,2010.0,2010.0,7.0,Influenza & Pneumonia,23396.0
Females,65+ yrs,2010.0,2010.0,8.0,Nephritis,21874.0
Females,65+ yrs,2010.0,2010.0,9.0,Unintentional Injury,20821.0
Females,65+ yrs,2010.0,2010.0,10.0,Septicemia,14750.0
Females,<1 yrs,2011.0,2011.0,1.0,Congenital Anomalies,2383.0
Females,<1 yrs,2011.0,2011.0,2.0,Short Gestation,1833.0
Females,<1 yrs,2011.0,2011.0,3.0,SIDS,802.0
Females,<1 yrs,2011.0,2011.0,4.0,Maternal Pregnancy Comp.,687.0
Females,<1 yrs,2011.0,2011.0,5.0,Unintentional Injury,516.0
Females,<1 yrs,2011.0,2011.0,6.0,Placenta  Cord Membranes,456.0
Females,<1 yrs,2011.0,2011.0,7.0,Respiratory Distress,237.0
Females,<1 yrs,2011.0,2011.0,8.0,Bacterial Sepsis,233.0
Females,<1 yrs,2011.0,2011.0,9.0,Circulatory System Disease,232.0
Females,<1 yrs,2011.0,2011.0,10.0,Neonatal Hemorrhage,190.0
Females,1-4 yrs,2011.0,2011.0,1.0,Unintentional Injury,538.0
Females,1-4 yrs,2011.0,2011.0,2.0,Congenital Anomalies,227.0
Females,1-4 yrs,2011.0,2011.0,3.0,Homicide,173.0
Females,1-4 yrs,2011.0,2011.0,4.0,Malignant Neoplasms,170.0
Females,1-4 yrs,2011.0,2011.0,5.0,Heart Disease,81.0
Females,1-4 yrs,2011.0,2011.0,6.0,Influenza & Pneumonia,57.0
Females,1-4 yrs,2011.0,2011.0,7.0,Septicemia,35.0
Females,1-4 yrs,2011.0,2011.0,8.0,Benign Neoplasms,19.0
Females,1-4 yrs,2011.0,2011.0,9.0,Chronic Low. Respiratory Disease,16.0
Females,1-4 yrs,2011.0,2011.0,10.0,Perinatal Period,14.0
Females,5-9 yrs,2011.0,2011.0,1.0,Unintentional Injury,300.0
Females,5-9 yrs,2011.0,2011.0,2.0,Malignant Neoplasms,197.0
Females,5-9 yrs,2011.0,2011.0,3.0,Congenital Anomalies,73.0
Females,5-9 yrs,2011.0,2011.0,4.0,Heart Disease,54.0
Females,5-9 yrs,2011.0,2011.0,4.0,Homicide,54.0
Females,5-9 yrs,2011.0,2011.0,5.0,Influenza & Pneumonia,31.0
Females,5-9 yrs,2011.0,2011.0,6.0,Septicemia,24.0
Females,5-9 yrs,2011.0,2011.0,7.0,Benign Neoplasms,21.0
Females,5-9 yrs,2011.0,2011.0,7.0,Cerebrovascular,21.0
Females,5-9 yrs,2011.0,2011.0,8.0,Chronic Low. Respiratory Disease,20.0
Females,10-14 yrs,2011.0,2011.0,1.0,Unintentional Injury,302.0
Females,10-14 yrs,2011.0,2011.0,2.0,Malignant Neoplasms,180.0
Females,10-14 yrs,2011.0,2011.0,3.0,Congenital Anomalies,87.0
Females,10-14 yrs,2011.0,2011.0,4.0,Suicide,85.0
Females,10-14 yrs,2011.0,2011.0,5.0,Heart Disease,54.0
Females,10-14 yrs,2011.0,2011.0,6.0,Homicide,51.0
Females,10-14 yrs,2011.0,2011.0,7.0,Chronic Low. Respiratory Disease,29.0
Females,10-14 yrs,2011.0,2011.0,8.0,Influenza & Pneumonia,24.0
Females,10-14 yrs,2011.0,2011.0,9.0,Cerebrovascular,20.0
Females,10-14 yrs,2011.0,2011.0,10.0,Diabetes Mellitus,15.0
Females,15-24 yrs,2011.0,2011.0,1.0,Unintentional Injury,3158.0
Females,15-24 yrs,2011.0,2011.0,2.0,Suicide,863.0
Females,15-24 yrs,2011.0,2011.0,3.0,Malignant Neoplasms,645.0
Females,15-24 yrs,2011.0,2011.0,4.0,Homicide,613.0
Females,15-24 yrs,2011.0,2011.0,5.0,Heart Disease,314.0
Females,15-24 yrs,2011.0,2011.0,6.0,Complicated Pregnancy,172.0
Females,15-24 yrs,2011.0,2011.0,7.0,Congenital Anomalies,157.0
Females,15-24 yrs,2011.0,2011.0,8.0,Influenza & Pneumonia,97.0
Females,15-24 yrs,2011.0,2011.0,9.0,Cerebrovascular,82.0
Females,15-24 yrs,2011.0,2011.0,10.0,Diabetes Mellitus,66.0
Females,25-34 yrs,2011.0,2011.0,1.0,Unintentional Injury,4092.0
Females,25-34 yrs,2011.0,2011.0,2.0,Malignant Neoplasms,1786.0
Females,25-34 yrs,2011.0,2011.0,3.0,Suicide,1238.0
Females,25-34 yrs,2011.0,2011.0,4.0,Heart Disease,1091.0
Females,25-34 yrs,2011.0,2011.0,5.0,Homicide,686.0
Females,25-34 yrs,2011.0,2011.0,6.0,Complicated Pregnancy,386.0
Females,25-34 yrs,2011.0,2011.0,7.0,Diabetes Mellitus,298.0
Females,25-34 yrs,2011.0,2011.0,8.0,Cerebrovascular,246.0
Females,25-34 yrs,2011.0,2011.0,9.0,HIV,238.0
Females,25-34 yrs,2011.0,2011.0,10.0,Influenza & Pneumonia,225.0
Females,35-44 yrs,2011.0,2011.0,1.0,Malignant Neoplasms,6683.0
Females,35-44 yrs,2011.0,2011.0,2.0,Unintentional Injury,4771.0
Females,35-44 yrs,2011.0,2011.0,3.0,Heart Disease,3242.0
