Rank,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
209,X360,Role-Playing,3.39,1.03,0.09,0.44,4.96
210,DS,Role-Playing,1.85,1.2,1.54,0.37,4.96
211,PS3,Action,2.31,1.73,0.12,0.78,4.94
212,PS2,Sports,3.98,0.26,0.01,0.66,4.91
213,DS,Action,2.89,1.54,0.0,0.46,4.9
214,N64,Racing,2.91,0.99,0.89,0.1,4.88
215,PSP,Role-Playing,0.0,0.0,4.87,0.0,4.87
216,NES,Puzzle,2.62,0.6,1.52,0.1,4.85
217,PS3,Action,2.74,1.36,0.12,0.63,4.84
218,PC,Strategy,2.56,1.68,0.0,0.59,4.83
219,PS3,Adventure,1.91,2.0,0.09,0.83,4.83
220,PS3,Sports,0.57,3.14,0.04,1.07,4.82
221,PS,Racing,2.57,1.57,0.44,0.21,4.79
222,PS4,Sports,0.28,3.75,0.06,0.69,4.77
223,X360,Action,2.99,1.31,0.04,0.41,4.76
224,PS,Action,2.36,2.1,0.02,0.25,4.73
225,PS2,Racing,1.73,2.19,0.0,0.79,4.7
226,PS,Sports,3.05,1.41,0.02,0.2,4.68
227,Wii,Simulation,1.87,1.12,1.32,0.37,4.68
228,PS2,Action,1.94,1.95,0.08,0.7,4.67
229,X360,Racing,2.08,2.04,0.06,0.47,4.64
230,PS,Action,2.29,1.97,0.13,0.24,4.63
231,Wii,Misc,3.06,1.12,0.0,0.44,4.62
232,SNES,Action,2.42,0.91,1.15,0.13,4.61
233,GC,Action,2.6,0.99,0.89,0.13,4.6
234,Wii,Sports,1.89,1.99,0.22,0.48,4.58
235,3DS,Action,1.78,1.39,1.1,0.3,4.58
236,WiiU,Shooter,1.55,1.15,1.44,0.43,4.57
237,PS4,Action,1.78,1.87,0.07,0.82,4.55
238,X360,Misc,3.19,0.92,0.01,0.42,4.53
239,PS2,Sports,4.18,0.26,0.01,0.08,4.53
240,2600,Platform,4.21,0.24,0.0,0.05,4.5
241,PS2,Sports,3.63,0.24,0.01,0.61,4.49
242,PS2,Action,2.71,1.51,0.03,0.23,4.48
243,PS,Role-Playing,0.2,0.14,4.1,0.02,4.47
244,PS4,Action,1.96,1.69,0.08,0.74,4.47
245,PS3,Shooter,1.54,1.94,0.19,0.77,4.45
246,PS2,Action,2.71,1.29,0.02,0.43,4.45
247,WiiU,Misc,2.55,1.11,0.46,0.33,4.44
248,Wii,Misc,2.67,1.35,0.01,0.39,4.42
249,PS2,Sports,2.66,1.29,0.01,0.46,4.41
250,PS2,Sports,0.1,2.39,1.05,0.86,4.39
251,X360,Role-Playing,2.82,1.05,0.13,0.4,4.39
252,NES,Adventure,2.19,0.5,1.61,0.08,4.38
253,PS2,Racing,2.03,1.79,0.08,0.47,4.37
254,PS3,Shooter,1.73,1.73,0.14,0.75,4.35
255,GEN,Platform,3.03,0.91,0.26,0.13,4.34
256,PS2,Role-Playing,2.2,0.58,1.38,0.17,4.33
257,X360,Sports,0.92,2.93,0.01,0.46,4.31
258,X360,Shooter,2.75,1.18,0.0,0.37,4.31
259,2600,Shooter,4.0,0.26,0.0,0.05,4.31
260,X360,Role-Playing,2.51,1.27,0.11,0.41,4.31
261,XOne,Shooter,2.64,1.2,0.03,0.39,4.26
262,WiiU,Platform,2.11,1.11,0.72,0.3,4.25
263,PS3,Action,2.23,1.34,0.07,0.61,4.25
264,PS3,Action,1.41,2.02,0.1,0.72,4.24
265,GBA,Misc,3.0,1.11,0.05,0.07,4.24
266,PS2,Action,1.46,0.0,0.83,1.93,4.23
267,PSP,Platform,2.45,1.02,0.0,0.75,4.22
268,PC,Strategy,1.7,2.27,0.0,0.23,4.21
269,3DS,Action,2.03,1.27,0.62,0.3,4.21
270,PS2,Sports,0.78,2.55,0.04,0.84,4.21
271,PS2,Misc,0.88,2.3,0.2,0.83,4.2
272,PS4,Shooter,1.3,2.07,0.18,0.65,4.2
273,PS3,Racing,1.28,1.83,0.57,0.53,4.2
274,X360,Action,2.25,1.47,0.04,0.43,4.19
275,PS3,Fighting,2.02,1.06,0.58,0.53,4.19
276,X360,Sports,0.84,2.79,0.02,0.53,4.19
277,NES,Action,3.38,0.44,0.31,0.04,4.17
278,NES,Racing,2.04,0.48,1.57,0.07,4.16
279,PS,Action,3.79,0.27,0.0,0.11,4.16
280,PS2,Sports,3.36,0.21,0.01,0.56,4.14
281,PS4,Action,1.4,1.86,0.11,0.77,4.14
282,PC,Shooter,4.03,0.0,0.09,0.0,4.12
283,SNES,Platform,1.65,0.61,1.76,0.09,4.12
284,PS2,Sports,0.71,2.48,0.03,0.89,4.11
285,Wii,Action,2.14,1.2,0.37,0.4,4.1
286,SNES,Fighting,1.42,0.51,2.1,0.07,4.1
287,Wii,Misc,2.13,1.5,0.05,0.42,4.1
288,XOne,Role-Playing,2.45,1.26,0.01,0.37,4.09
289,PC,Role-Playing,2.57,1.52,0.0,0.0,4.09
290,X360,Role-Playing,2.65,1.06,0.04,0.33,4.08
291,PS2,Action,2.32,0.04,0.04,1.67,4.07
292,X360,Racing,2.35,1.28,0.03,0.41,4.06
293,PS2,Sports,0.12,2.26,0.9,0.77,4.06
294,PS,Misc,2.28,1.55,0.16,0.06,4.05
295,PS2,Fighting,1.68,1.51,0.51,0.35,4.05
296,PS4,Shooter,1.12,2.12,0.1,0.69,4.03
297,N64,Shooter,2.78,0.58,0.64,0.04,4.03
298,PS4,Misc,1.38,1.87,0.12,0.65,4.02
299,NES,Sports,1.22,0.28,2.46,0.04,4.01
300,PS3,Role-Playing,2.15,1.2,0.07,0.59,4.01
301,DS,Puzzle,0.92,1.78,0.92,0.37,4.0
302,X360,Shooter,2.67,0.89,0.05,0.37,3.99
303,PS2,Misc,2.08,1.35,0.0,0.54,3.98
304,Wii,Sports,2.1,1.36,0.06,0.4,3.92
305,PS4,Action,1.18,1.96,0.08,0.7,3.92
306,GB,Platform,1.97,0.76,1.07,0.11,3.91
307,PS2,Sports,2.29,1.17,0.01,0.42,3.9
308,PS3,Action,1.33,1.71,0.13,0.73,3.89
309,3DS,Role-Playing,0.67,0.49,2.62,0.11,3.89
310,PS3,Racing,1.53,1.61,0.06,0.67,3.88
311,PC,Role-Playing,1.15,2.09,0.0,0.64,3.88
312,PS2,Fighting,0.93,1.94,0.31,0.7,3.87
313,NES,Role-Playing,0.1,0.0,3.77,0.0,3.87
314,PS3,Sports,2.12,1.14,0.1,0.51,3.87
315,PS4,Sports,2.48,0.65,0.03,0.69,3.85
316,PS2,Sports,0.16,1.89,1.12,0.68,3.85
317,DS,Misc,0.87,1.57,1.05,0.35,3.84
318,PS,Misc,2.12,1.44,0.22,0.06,3.84
319,GB,Action,2.21,0.96,0.54,0.13,3.83
320,DS,Role-Playing,2.26,0.48,0.81,0.27,3.83
321,Wii,Misc,1.06,1.93,0.41,0.43,3.82
322,3DS,Simulation,1.44,1.37,0.73,0.27,3.81
323,PS4,Action,1.49,1.58,0.1,0.61,3.79
324,Wii,Sports,1.14,1.91,0.27,0.46,3.78
325,X360,Action,2.4,1.03,0.0,0.36,3.78
326,PS,Action,1.82,1.24,0.47,0.25,3.77
327,PSP,Platform,1.4,1.4,0.1,0.87,3.77
328,Wii,Misc,1.98,1.47,0.0,0.32,3.76
329,PC,Simulation,2.03,1.56,0.0,0.17,3.76
330,Wii,Platform,1.98,0.88,0.59,0.32,3.76
331,PS,Action,1.37,2.0,0.14,0.22,3.73
332,PS4,Role-Playing,0.96,2.0,0.21,0.56,3.73
333,PS,Action,1.3,0.77,1.54,0.11,3.72
334,PS,Platform,1.93,1.58,0.0,0.19,3.71
335,PS2,Sports,0.58,2.48,0.04,0.59,3.7
336,GB,Strategy,1.49,0.73,1.38,0.1,3.7
337,PS3,Shooter,1.3,1.51,0.27,0.61,3.69
338,DS,Simulation,1.59,1.61,0.08,0.41,3.69
339,DS,Misc,0.0,0.0,3.67,0.0,3.67
340,PS2,Sports,2.13,1.18,0.01,0.35,3.67
341,PSP,Racing,1.65,1.22,0.0,0.79,3.66
342,N64,Platform,1.87,1.13,0.55,0.1,3.65
343,PS2,Shooter,2.53,0.81,0.06,0.24,3.65
344,Wii,Misc,2.33,0.97,0.0,0.35,3.65
345,PS3,Racing,0.71,1.8,0.4,0.74,3.64
346,PS2,Platform,2.08,1.09,0.15,0.33,3.64
347,N64,Simulation,2.23,0.68,0.66,0.06,3.63
348,PS3,Sports,0.6,2.46,0.05,0.52,3.63
349,PS2,Sports,0.05,0.0,0.64,2.93,3.63
350,PS4,Shooter,1.78,1.42,0.05,0.38,3.63
351,PS2,Action,2.08,0.83,0.46,0.25,3.62
352,PS4,Shooter,1.28,1.61,0.15,0.57,3.61
353,PS2,Shooter,1.93,1.22,0.03,0.44,3.61
354,PC,Shooter,2.05,1.4,0.0,0.16,3.61
355,PS2,Racing,2.02,1.17,0.0,0.42,3.61
356,DS,Simulation,1.61,1.5,0.1,0.39,3.61
357,GC,Action,2.38,0.67,0.46,0.1,3.6
358,PS2,Shooter,2.18,1.02,0.03,0.37,3.59
359,PS,Fighting,2.01,1.35,0.06,0.16,3.58
360,PS,Platform,1.57,1.79,0.0,0.2,3.56
361,PS2,Action,1.56,1.4,0.07,0.5,3.54
362,PS2,Action,1.23,1.77,0.05,0.49,3.54
363,PS,Action,1.66,1.58,0.12,0.18,3.54
364,PS2,Shooter,1.9,1.13,0.1,0.41,3.53
365,PS2,Action,1.98,1.14,0.01,0.41,3.53
366,X360,Shooter,2.14,1.08,0.02,0.29,3.53
367,X360,Sports,0.71,2.4,0.02,0.4,3.53
368,PS,Action,1.96,1.33,0.0,0.23,3.52
369,PS,Platform,2.14,1.21,0.01,0.17,3.52
370,X360,Shooter,2.66,0.5,0.05,0.3,3.52
371,DS,Sports,1.22,1.66,0.27,0.38,3.52
372,X360,Action,2.11,0.94,0.12,0.34,3.51
373,SNES,Platform,1.17,0.5,1.75,0.08,3.51
374,X360,Action,2.84,0.39,0.03,0.24,3.5
375,NES,Action,1.64,0.38,1.42,0.06,3.5
376,X360,Action,2.2,0.97,0.02,0.31,3.5
377,DS,Misc,0.59,1.83,0.73,0.35,3.5
378,PS2,Sports,0.59,2.36,0.04,0.51,3.49
379,XOne,Shooter,1.94,1.22,0.02,0.31,3.49
380,X360,Shooter,2.09,1.02,0.04,0.32,3.48
381,DS,Misc,2.11,1.01,0.01,0.35,3.48
382,XOne,Action,2.26,0.89,0.0,0.3,3.46
383,PS3,Shooter,0.88,1.75,0.1,0.72,3.45
384,3DS,Role-Playing,0.0,0.0,3.44,0.0,3.44
385,X360,Shooter,2.39,0.73,0.03,0.29,3.44
386,PS2,Fighting,1.55,1.27,0.33,0.29,3.44
387,PS4,Shooter,1.34,1.54,0.17,0.38,3.43
388,PS3,Platform,1.82,1.07,0.06,0.47,3.42
389,PS,Action,1.13,2.07,0.0,0.22,3.42
390,SNES,Role-Playing,0.86,0.0,2.55,0.02,3.42
391,PS2,Action,1.75,1.2,0.02,0.43,3.41
392,GB,Racing,1.73,0.69,0.59,0.4,3.41
393,PS2,Sports,0.46,2.28,0.05,0.61,3.4
394,PS,Misc,1.56,1.47,0.19,0.17,3.39
395,X360,Action,2.03,1.03,0.0,0.32,3.38
396,PS4,Action,1.08,1.35,0.48,0.47,3.38
397,DS,Action,1.43,0.94,0.74,0.27,3.38
398,PS,Fighting,2.47,0.76,0.0,0.13,3.36
399,N64,Action,1.9,0.67,0.73,0.06,3.36
400,DS,Puzzle,0.65,1.61,0.82,0.28,3.36
401,PS,Adventure,1.63,1.53,0.0,0.18,3.34
402,X360,Action,1.9,1.14,0.01,0.29,3.34
403,DS,Misc,0.0,0.99,2.32,0.02,3.33
404,PS2,Shooter,1.45,1.29,0.12,0.46,3.33
405,PS2,Platform,1.44,1.01,0.57,0.3,3.33
406,Wii,Misc,1.15,1.17,0.76,0.24,3.32
407,PS2,Action,1.47,1.39,0.03,0.43,3.32
408,PS2,Shooter,1.99,1.05,0.05,0.22,3.31
409,PS2,Action,1.5,1.28,0.05,0.46,3.28
410,PS4,Action,0.8,1.92,0.06,0.5,3.28
411,XOne,Shooter,2.13,0.92,0.0,0.23,3.28
412,PS2,Action,1.89,1.05,0.02,0.31,3.27
413,Wii,Misc,1.36,1.13,0.46,0.32,3.27
414,PSP,Racing,0.5,1.59,0.31,0.87,3.27
415,3DS,Action,0.25,0.19,2.78,0.04,3.26
416,PS,Fighting,0.95,1.3,0.77,0.22,3.24
417,XOne,Sports,0.88,2.11,0.0,0.23,3.23
418,PS3,Adventure,1.27,1.33,0.12,0.51,3.23
419,PS4,Sports,2.33,0.3,0.0,0.59,3.22
420,3DS,Role-Playing,0.03,0.0,3.18,0.0,3.22
421,PS,Shooter,1.72,1.33,0.0,0.16,3.21
422,NES,Sports,0.73,0.1,2.35,0.02,3.2
423,SNES,Fighting,2.26,0.72,0.12,0.1,3.2
424,PS,Fighting,1.76,1.21,0.07,0.16,3.2
425,PSP,Role-Playing,1.35,0.6,0.8,0.44,3.19
426,PSP,Action,1.48,1.01,0.04,0.66,3.19
427,SNES,Role-Playing,0.0,0.0,3.19,0.0,3.19
428,X360,Misc,2.15,0.77,0.01,0.26,3.19
429,PS2,Action,1.78,1.12,0.09,0.19,3.18
430,WiiU,Platform,1.18,0.87,0.93,0.2,3.18
431,PS3,Role-Playing,1.52,1.08,0.1,0.47,3.17
432,Wii,Action,1.86,1.02,0.0,0.29,3.17
433,DS,Misc,0.58,0.51,1.93,0.14,3.17
434,PS2,Simulation,2.06,0.56,0.38,0.17,3.17
435,DS,Adventure,1.88,0.98,0.0,0.3,3.16
436,GC,Simulation,1.92,0.16,0.99,0.09,3.15
437,DS,Action,1.79,1.06,0.0,0.29,3.15
438,DS,Platform,1.22,1.57,0.06,0.29,3.15
439,PS3,Shooter,0.88,0.97,0.88,0.42,3.15
440,XOne,Shooter,1.89,0.99,0.03,0.24,3.15
441,PS2,Sports,0.68,0.0,0.0,2.46,3.14
442,PS,Action,1.7,1.25,0.02,0.16,3.13
443,PS,Racing,2.14,0.86,0.0,0.13,3.12
444,N64,Racing,2.31,0.62,0.14,0.04,3.12
445,DS,Misc,0.91,1.0,1.03,0.17,3.12
446,PS3,Role-Playing,1.69,0.87,0.14,0.42,3.12
447,NES,Role-Playing,0.08,0.0,3.03,0.01,3.12
448,PS3,Adventure,1.29,1.27,0.06,0.5,3.12
449,X360,Role-Playing,1.99,0.82,0.03,0.27,3.11
450,X360,Sports,0.78,2.02,0.0,0.3,3.11
451,PS2,Fighting,2.17,0.28,0.55,0.08,3.09
452,PS2,Sports,2.5,0.16,0.01,0.42,3.08
453,NES,Sports,1.92,0.45,0.64,0.07,3.08
454,X360,Shooter,1.89,0.91,0.04,0.24,3.07
455,3DS,Action,1.4,0.99,0.46,0.22,3.07
456,GB,Platform,1.57,0.62,0.55,0.34,3.07
457,PC,Simulation,1.72,1.21,0.0,0.14,3.07
458,X360,Role-Playing,1.94,0.86,0.03,0.24,3.07
459,X360,Action,1.91,0.84,0.0,0.29,3.05
460,X360,Shooter,1.38,1.35,0.02,0.28,3.04
461,Wii,Platform,2.06,0.64,0.12,0.22,3.04
462,X360,Action,1.94,0.8,0.02,0.27,3.03
463,PS,Platform,1.54,1.33,0.0,0.16,3.03
