Rank,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
72,SNES,Platform,4.36,1.71,3.0,0.23
73,X360,Misc,5.58,2.83,0.02,0.77
74,3DS,Simulation,2.01,2.32,4.36,0.41
75,DS,Misc,4.46,1.88,1.98,0.7
76,X360,Role-Playing,5.03,2.86,0.1,0.85
77,SNES,Racing,3.54,1.24,3.81,0.18
78,PS4,Sports,1.11,6.06,0.06,1.26
79,Wii,Misc,1.79,3.53,2.49,0.68
80,XB,Shooter,6.82,1.53,0.05,0.08
81,Wii,Misc,3.81,2.3,1.58,0.73
82,DS,Role-Playing,2.91,1.86,3.14,0.43
83,PS3,Action,1.06,5.05,0.13,2.01
84,PC,Simulation,0.98,6.42,0.0,0.71
85,N64,Shooter,5.8,2.01,0.13,0.15
86,Wii,Sports,2.58,3.9,0.66,0.91
87,PS2,Role-Playing,2.91,2.07,2.73,0.33
88,PS,Role-Playing,2.28,1.72,3.63,0.23
89,DS,Role-Playing,2.82,1.78,2.69,0.55
90,2600,Puzzle,7.28,0.45,0.0,0.08
91,PSP,Action,2.9,2.83,0.24,1.75
92,Wii,Platform,3.66,2.42,0.98,0.64
93,PS4,Shooter,2.93,3.29,0.22,1.23
94,PS4,Shooter,2.8,3.3,0.14,1.37
95,N64,Action,4.1,1.89,1.45,0.16
96,PS,Platform,3.78,2.17,1.31,0.31
97,NES,Platform,5.39,1.18,0.7,0.19
98,3DS,Fighting,3.24,1.35,2.42,0.43
99,X360,Shooter,4.79,1.9,0.0,0.69
100,X360,Shooter,4.46,2.13,0.06,0.69
101,Wii,Action,3.83,2.19,0.6,0.7
102,XOne,Shooter,4.52,2.09,0.01,0.67
103,Wii,Misc,3.51,3.03,0.0,0.73
104,PS3,Shooter,2.85,2.93,0.35,1.1
105,PS2,Racing,3.27,2.83,0.08,1.02
106,PS,Fighting,3.27,2.22,1.4,0.29
107,PS,Platform,3.68,1.75,1.42,0.28
108,GC,Fighting,4.41,1.04,1.39,0.22
109,WiiU,Racing,3.13,2.07,1.27,0.49
110,PS4,Role-Playing,2.47,3.15,0.24,1.1
111,GC,Racing,4.12,1.77,0.87,0.19
112,Wii,Misc,4.14,2.21,0.0,0.56
113,PS3,Sports,0.78,4.32,0.07,1.73
114,PS2,Racing,2.71,3.02,0.08,1.09
115,PS2,Shooter,2.93,2.75,0.17,0.99
116,PS3,Action,2.77,2.8,0.19,1.06
117,PS,Platform,3.23,2.35,0.94,0.3
118,Wii,Sports,3.5,2.64,0.0,0.67
119,X360,Shooter,4.15,1.92,0.06,0.64
120,PS3,Action,3.27,2.25,0.21,1.0
121,PS3,Shooter,3.1,2.3,0.28,1.04
122,PS3,Sports,0.84,4.32,0.11,1.42
123,DS,Misc,1.67,2.78,1.6,0.62
124,PS3,Action,2.79,2.61,0.17,1.03
125,PS4,Sports,0.79,4.29,0.05,1.47
126,Wii,Platform,3.25,1.84,1.03,0.47
127,PS3,Role-Playing,2.55,2.71,0.25,1.05
128,NES,Action,3.74,0.93,1.69,0.14
129,PS3,Action,2.64,2.56,0.16,1.14
130,XB,Shooter,4.98,1.3,0.08,0.07
131,GBA,Role-Playing,2.57,1.58,2.06,0.21
132,PS2,Role-Playing,3.64,1.2,1.49,0.07
133,GB,Role-Playing,2.55,1.56,1.29,0.99
134,X360,Shooter,4.34,1.35,0.06,0.61
135,X360,Action,3.7,1.97,0.09,0.57
136,GC,Platform,4.01,1.26,0.87,0.17
137,SNES,Fighting,2.47,0.83,2.87,0.12
138,PC,Role-Playing,0.07,6.21,0.0,0.0
139,PS,Action,3.11,2.8,0.02,0.33
140,X360,Sports,3.92,1.78,0.03,0.51
141,X360,Shooter,4.05,1.62,0.07,0.49
142,X360,Shooter,3.54,1.9,0.07,0.6
143,PS2,Action,2.45,2.01,0.87,0.72
144,GEN,Platform,4.47,1.2,0.16,0.19
145,PS3,Action,2.63,1.74,0.83,0.83
146,PS,Action,3.18,1.83,0.78,0.24
147,PS3,Action,2.41,2.28,0.28,1.01
148,PS2,Role-Playing,1.88,0.0,2.33,1.74
149,PS3,Platform,2.8,2.05,0.17,0.9
150,DS,Role-Playing,0.66,0.69,4.35,0.15
151,Wii,Action,3.66,1.63,0.0,0.53
152,PS,Action,1.88,1.47,2.02,0.45
153,PS,Fighting,2.26,1.89,1.36,0.23
154,DS,Simulation,3.13,1.94,0.07,0.58
155,PS4,Shooter,2.49,2.05,0.16,0.96
156,NES,Puzzle,2.97,0.69,1.81,0.11
157,PS3,Action,2.54,1.95,0.21,0.87
158,N64,Fighting,2.95,0.6,1.97,0.04
159,X360,Adventure,3.28,1.65,0.07,0.55
160,PS3,Action,2.7,1.91,0.11,0.8
161,X360,Racing,2.99,1.92,0.1,0.51
162,PSP,Role-Playing,0.47,0.57,4.13,0.34
163,GBA,Platform,3.14,1.24,0.91,0.2
164,GBA,Racing,2.62,1.64,0.99,0.23
165,GBA,Platform,3.21,1.11,0.95,0.2
166,N64,Strategy,3.18,1.24,0.94,0.09
167,PS3,Shooter,2.72,1.87,0.0,0.84
168,PS2,Platform,2.07,2.29,0.24,0.82
169,PS3,Misc,1.97,2.51,0.0,0.94
170,PS3,Role-Playing,1.74,1.24,1.87,0.52
171,GB,Puzzle,2.18,0.96,2.0,0.2
172,GB,Misc,3.02,1.12,1.01,0.16
173,X360,Action,3.13,1.71,0.03,0.44
174,PS,Role-Playing,1.62,0.77,2.78,0.14
175,PS2,Role-Playing,1.92,1.08,2.11,0.17
176,N64,Platform,3.33,0.79,1.09,0.06
177,X360,Action,3.1,1.56,0.08,0.51
178,DS,Puzzle,1.22,2.48,1.03,0.52
179,PS,Action,2.3,2.46,0.2,0.28
180,PS2,Sports,4.26,0.26,0.01,0.71
181,PS2,Role-Playing,0.65,0.75,3.61,0.2
182,PC,Role-Playing,2.43,2.15,0.0,0.62
183,GBA,Platform,2.93,1.25,0.83,0.2
184,WiiU,Platform,2.32,1.3,1.27,0.31
185,GB,Platform,2.49,0.98,1.57,0.15
186,X360,Action,1.08,3.48,0.03,0.58
187,DS,Action,1.9,1.83,0.95,0.49
188,SNES,Platform,2.1,0.74,2.2,0.11
189,3DS,Simulation,0.96,2.02,1.89,0.28
190,DS,Sports,1.64,2.48,0.44,0.58
191,PS2,Shooter,1.98,2.23,0.13,0.8
192,GB,Platform,2.71,0.61,1.7,0.11
193,X360,Role-Playing,3.59,1.11,0.05,0.38
194,XOne,Shooter,3.21,1.53,0.01,0.38
195,PC,Simulation,3.22,1.69,0.0,0.2
196,PS2,Misc,3.81,0.63,0.0,0.68
197,PS3,Action,1.96,1.43,1.08,0.65
198,XOne,Action,2.66,2.01,0.0,0.41
199,PSP,Action,1.7,2.02,0.16,1.21
200,PS3,Sports,0.6,3.29,0.06,1.13
201,GB,Platform,3.4,1.3,0.15,0.22
202,PS,Action,2.05,1.16,1.11,0.73
203,PS,Sports,3.42,1.38,0.02,0.2
204,WiiU,Fighting,2.59,1.06,0.8,0.57
205,PS,Strategy,2.79,1.89,0.0,0.33
206,PS,Platform,3.36,1.36,0.07,0.21
207,Wii,Shooter,3.06,1.18,0.29,0.46
208,PS2,Misc,3.49,0.01,0.01,1.48
209,X360,Role-Playing,3.39,1.03,0.09,0.44
210,DS,Role-Playing,1.85,1.2,1.54,0.37
211,PS3,Action,2.31,1.73,0.12,0.78
212,PS2,Sports,3.98,0.26,0.01,0.66
213,DS,Action,2.89,1.54,0.0,0.46
214,N64,Racing,2.91,0.99,0.89,0.1
215,PSP,Role-Playing,0.0,0.0,4.87,0.0
216,NES,Puzzle,2.62,0.6,1.52,0.1
217,PS3,Action,2.74,1.36,0.12,0.63
218,PC,Strategy,2.56,1.68,0.0,0.59
219,PS3,Adventure,1.91,2.0,0.09,0.83
220,PS3,Sports,0.57,3.14,0.04,1.07
221,PS,Racing,2.57,1.57,0.44,0.21
222,PS4,Sports,0.28,3.75,0.06,0.69
223,X360,Action,2.99,1.31,0.04,0.41
224,PS,Action,2.36,2.1,0.02,0.25
225,PS2,Racing,1.73,2.19,0.0,0.79
226,PS,Sports,3.05,1.41,0.02,0.2
227,Wii,Simulation,1.87,1.12,1.32,0.37
228,PS2,Action,1.94,1.95,0.08,0.7
229,X360,Racing,2.08,2.04,0.06,0.47
230,PS,Action,2.29,1.97,0.13,0.24
231,Wii,Misc,3.06,1.12,0.0,0.44
232,SNES,Action,2.42,0.91,1.15,0.13
233,GC,Action,2.6,0.99,0.89,0.13
234,Wii,Sports,1.89,1.99,0.22,0.48
235,3DS,Action,1.78,1.39,1.1,0.3
236,WiiU,Shooter,1.55,1.15,1.44,0.43
237,PS4,Action,1.78,1.87,0.07,0.82
238,X360,Misc,3.19,0.92,0.01,0.42
239,PS2,Sports,4.18,0.26,0.01,0.08
240,2600,Platform,4.21,0.24,0.0,0.05
241,PS2,Sports,3.63,0.24,0.01,0.61
242,PS2,Action,2.71,1.51,0.03,0.23
243,PS,Role-Playing,0.2,0.14,4.1,0.02
244,PS4,Action,1.96,1.69,0.08,0.74
245,PS3,Shooter,1.54,1.94,0.19,0.77
246,PS2,Action,2.71,1.29,0.02,0.43
247,WiiU,Misc,2.55,1.11,0.46,0.33
248,Wii,Misc,2.67,1.35,0.01,0.39
249,PS2,Sports,2.66,1.29,0.01,0.46
250,PS2,Sports,0.1,2.39,1.05,0.86
251,X360,Role-Playing,2.82,1.05,0.13,0.4
252,NES,Adventure,2.19,0.5,1.61,0.08
253,PS2,Racing,2.03,1.79,0.08,0.47
254,PS3,Shooter,1.73,1.73,0.14,0.75
255,GEN,Platform,3.03,0.91,0.26,0.13
256,PS2,Role-Playing,2.2,0.58,1.38,0.17
257,X360,Sports,0.92,2.93,0.01,0.46
258,X360,Shooter,2.75,1.18,0.0,0.37
259,2600,Shooter,4.0,0.26,0.0,0.05
260,X360,Role-Playing,2.51,1.27,0.11,0.41
261,XOne,Shooter,2.64,1.2,0.03,0.39
262,WiiU,Platform,2.11,1.11,0.72,0.3
263,PS3,Action,2.23,1.34,0.07,0.61
264,PS3,Action,1.41,2.02,0.1,0.72
265,GBA,Misc,3.0,1.11,0.05,0.07
266,PS2,Action,1.46,0.0,0.83,1.93
267,PSP,Platform,2.45,1.02,0.0,0.75
268,PC,Strategy,1.7,2.27,0.0,0.23
269,3DS,Action,2.03,1.27,0.62,0.3
270,PS2,Sports,0.78,2.55,0.04,0.84
271,PS2,Misc,0.88,2.3,0.2,0.83
272,PS4,Shooter,1.3,2.07,0.18,0.65
273,PS3,Racing,1.28,1.83,0.57,0.53
274,X360,Action,2.25,1.47,0.04,0.43
275,PS3,Fighting,2.02,1.06,0.58,0.53
276,X360,Sports,0.84,2.79,0.02,0.53
277,NES,Action,3.38,0.44,0.31,0.04
278,NES,Racing,2.04,0.48,1.57,0.07
279,PS,Action,3.79,0.27,0.0,0.11
280,PS2,Sports,3.36,0.21,0.01,0.56
281,PS4,Action,1.4,1.86,0.11,0.77
282,PC,Shooter,4.03,0.0,0.09,0.0
283,SNES,Platform,1.65,0.61,1.76,0.09
284,PS2,Sports,0.71,2.48,0.03,0.89
285,Wii,Action,2.14,1.2,0.37,0.4
286,SNES,Fighting,1.42,0.51,2.1,0.07
287,Wii,Misc,2.13,1.5,0.05,0.42
288,XOne,Role-Playing,2.45,1.26,0.01,0.37
289,PC,Role-Playing,2.57,1.52,0.0,0.0
290,X360,Role-Playing,2.65,1.06,0.04,0.33
291,PS2,Action,2.32,0.04,0.04,1.67
292,X360,Racing,2.35,1.28,0.03,0.41
293,PS2,Sports,0.12,2.26,0.9,0.77
294,PS,Misc,2.28,1.55,0.16,0.06
295,PS2,Fighting,1.68,1.51,0.51,0.35
296,PS4,Shooter,1.12,2.12,0.1,0.69
297,N64,Shooter,2.78,0.58,0.64,0.04
298,PS4,Misc,1.38,1.87,0.12,0.65
299,NES,Sports,1.22,0.28,2.46,0.04
300,PS3,Role-Playing,2.15,1.2,0.07,0.59
301,DS,Puzzle,0.92,1.78,0.92,0.37
302,X360,Shooter,2.67,0.89,0.05,0.37
303,PS2,Misc,2.08,1.35,0.0,0.54
304,Wii,Sports,2.1,1.36,0.06,0.4
305,PS4,Action,1.18,1.96,0.08,0.7
306,GB,Platform,1.97,0.76,1.07,0.11
307,PS2,Sports,2.29,1.17,0.01,0.42
308,PS3,Action,1.33,1.71,0.13,0.73
309,3DS,Role-Playing,0.67,0.49,2.62,0.11
310,PS3,Racing,1.53,1.61,0.06,0.67
311,PC,Role-Playing,1.15,2.09,0.0,0.64
312,PS2,Fighting,0.93,1.94,0.31,0.7
313,NES,Role-Playing,0.1,0.0,3.77,0.0
314,PS3,Sports,2.12,1.14,0.1,0.51
315,PS4,Sports,2.48,0.65,0.03,0.69
316,PS2,Sports,0.16,1.89,1.12,0.68
317,DS,Misc,0.87,1.57,1.05,0.35
318,PS,Misc,2.12,1.44,0.22,0.06
319,GB,Action,2.21,0.96,0.54,0.13
320,DS,Role-Playing,2.26,0.48,0.81,0.27
321,Wii,Misc,1.06,1.93,0.41,0.43
322,3DS,Simulation,1.44,1.37,0.73,0.27
323,PS4,Action,1.49,1.58,0.1,0.61
324,Wii,Sports,1.14,1.91,0.27,0.46
325,X360,Action,2.4,1.03,0.0,0.36
326,PS,Action,1.82,1.24,0.47,0.25
327,PSP,Platform,1.4,1.4,0.1,0.87
328,Wii,Misc,1.98,1.47,0.0,0.32
329,PC,Simulation,2.03,1.56,0.0,0.17
330,Wii,Platform,1.98,0.88,0.59,0.32
331,PS,Action,1.37,2.0,0.14,0.22
332,PS4,Role-Playing,0.96,2.0,0.21,0.56
333,PS,Action,1.3,0.77,1.54,0.11
334,PS,Platform,1.93,1.58,0.0,0.19
335,PS2,Sports,0.58,2.48,0.04,0.59
336,GB,Strategy,1.49,0.73,1.38,0.1
337,PS3,Shooter,1.3,1.51,0.27,0.61
338,DS,Simulation,1.59,1.61,0.08,0.41
339,DS,Misc,0.0,0.0,3.67,0.0
340,PS2,Sports,2.13,1.18,0.01,0.35
341,PSP,Racing,1.65,1.22,0.0,0.79
342,N64,Platform,1.87,1.13,0.55,0.1
343,PS2,Shooter,2.53,0.81,0.06,0.24
344,Wii,Misc,2.33,0.97,0.0,0.35
345,PS3,Racing,0.71,1.8,0.4,0.74
346,PS2,Platform,2.08,1.09,0.15,0.33
347,N64,Simulation,2.23,0.68,0.66,0.06
348,PS3,Sports,0.6,2.46,0.05,0.52
349,PS2,Sports,0.05,0.0,0.64,2.93
350,PS4,Shooter,1.78,1.42,0.05,0.38
351,PS2,Action,2.08,0.83,0.46,0.25
352,PS4,Shooter,1.28,1.61,0.15,0.57
353,PS2,Shooter,1.93,1.22,0.03,0.44
354,PC,Shooter,2.05,1.4,0.0,0.16
355,PS2,Racing,2.02,1.17,0.0,0.42
356,DS,Simulation,1.61,1.5,0.1,0.39
357,GC,Action,2.38,0.67,0.46,0.1
358,PS2,Shooter,2.18,1.02,0.03,0.37
359,PS,Fighting,2.01,1.35,0.06,0.16
360,PS,Platform,1.57,1.79,0.0,0.2
361,PS2,Action,1.56,1.4,0.07,0.5
362,PS2,Action,1.23,1.77,0.05,0.49
363,PS,Action,1.66,1.58,0.12,0.18
364,PS2,Shooter,1.9,1.13,0.1,0.41
365,PS2,Action,1.98,1.14,0.01,0.41
366,X360,Shooter,2.14,1.08,0.02,0.29
367,X360,Sports,0.71,2.4,0.02,0.4
368,PS,Action,1.96,1.33,0.0,0.23
369,PS,Platform,2.14,1.21,0.01,0.17
370,X360,Shooter,2.66,0.5,0.05,0.3
371,DS,Sports,1.22,1.66,0.27,0.38
372,X360,Action,2.11,0.94,0.12,0.34
373,SNES,Platform,1.17,0.5,1.75,0.08
374,X360,Action,2.84,0.39,0.03,0.24
375,NES,Action,1.64,0.38,1.42,0.06
376,X360,Action,2.2,0.97,0.02,0.31
377,DS,Misc,0.59,1.83,0.73,0.35
378,PS2,Sports,0.59,2.36,0.04,0.51
379,XOne,Shooter,1.94,1.22,0.02,0.31
380,X360,Shooter,2.09,1.02,0.04,0.32
381,DS,Misc,2.11,1.01,0.01,0.35
382,XOne,Action,2.26,0.89,0.0,0.3
383,PS3,Shooter,0.88,1.75,0.1,0.72
384,3DS,Role-Playing,0.0,0.0,3.44,0.0
385,X360,Shooter,2.39,0.73,0.03,0.29
386,PS2,Fighting,1.55,1.27,0.33,0.29
387,PS4,Shooter,1.34,1.54,0.17,0.38
388,PS3,Platform,1.82,1.07,0.06,0.47
389,PS,Action,1.13,2.07,0.0,0.22
390,SNES,Role-Playing,0.86,0.0,2.55,0.02
391,PS2,Action,1.75,1.2,0.02,0.43
392,GB,Racing,1.73,0.69,0.59,0.4
393,PS2,Sports,0.46,2.28,0.05,0.61
394,PS,Misc,1.56,1.47,0.19,0.17
395,X360,Action,2.03,1.03,0.0,0.32
396,PS4,Action,1.08,1.35,0.48,0.47
397,DS,Action,1.43,0.94,0.74,0.27
398,PS,Fighting,2.47,0.76,0.0,0.13
399,N64,Action,1.9,0.67,0.73,0.06
400,DS,Puzzle,0.65,1.61,0.82,0.28
401,PS,Adventure,1.63,1.53,0.0,0.18
402,X360,Action,1.9,1.14,0.01,0.29
403,DS,Misc,0.0,0.99,2.32,0.02
404,PS2,Shooter,1.45,1.29,0.12,0.46
405,PS2,Platform,1.44,1.01,0.57,0.3
406,Wii,Misc,1.15,1.17,0.76,0.24
407,PS2,Action,1.47,1.39,0.03,0.43
408,PS2,Shooter,1.99,1.05,0.05,0.22
409,PS2,Action,1.5,1.28,0.05,0.46
410,PS4,Action,0.8,1.92,0.06,0.5
411,XOne,Shooter,2.13,0.92,0.0,0.23
412,PS2,Action,1.89,1.05,0.02,0.31
413,Wii,Misc,1.36,1.13,0.46,0.32
414,PSP,Racing,0.5,1.59,0.31,0.87
415,3DS,Action,0.25,0.19,2.78,0.04
416,PS,Fighting,0.95,1.3,0.77,0.22
417,XOne,Sports,0.88,2.11,0.0,0.23
418,PS3,Adventure,1.27,1.33,0.12,0.51
419,PS4,Sports,2.33,0.3,0.0,0.59
420,3DS,Role-Playing,0.03,0.0,3.18,0.0
421,PS,Shooter,1.72,1.33,0.0,0.16
422,NES,Sports,0.73,0.1,2.35,0.02
423,SNES,Fighting,2.26,0.72,0.12,0.1
424,PS,Fighting,1.76,1.21,0.07,0.16
425,PSP,Role-Playing,1.35,0.6,0.8,0.44
426,PSP,Action,1.48,1.01,0.04,0.66
427,SNES,Role-Playing,0.0,0.0,3.19,0.0
428,X360,Misc,2.15,0.77,0.01,0.26
429,PS2,Action,1.78,1.12,0.09,0.19
430,WiiU,Platform,1.18,0.87,0.93,0.2
431,PS3,Role-Playing,1.52,1.08,0.1,0.47
432,Wii,Action,1.86,1.02,0.0,0.29
433,DS,Misc,0.58,0.51,1.93,0.14
434,PS2,Simulation,2.06,0.56,0.38,0.17
435,DS,Adventure,1.88,0.98,0.0,0.3
436,GC,Simulation,1.92,0.16,0.99,0.09
437,DS,Action,1.79,1.06,0.0,0.29
438,DS,Platform,1.22,1.57,0.06,0.29
439,PS3,Shooter,0.88,0.97,0.88,0.42
440,XOne,Shooter,1.89,0.99,0.03,0.24
441,PS2,Sports,0.68,0.0,0.0,2.46
442,PS,Action,1.7,1.25,0.02,0.16
443,PS,Racing,2.14,0.86,0.0,0.13
444,N64,Racing,2.31,0.62,0.14,0.04
445,DS,Misc,0.91,1.0,1.03,0.17
446,PS3,Role-Playing,1.69,0.87,0.14,0.42
447,NES,Role-Playing,0.08,0.0,3.03,0.01
448,PS3,Adventure,1.29,1.27,0.06,0.5
449,X360,Role-Playing,1.99,0.82,0.03,0.27
450,X360,Sports,0.78,2.02,0.0,0.3
451,PS2,Fighting,2.17,0.28,0.55,0.08
452,PS2,Sports,2.5,0.16,0.01,0.42
453,NES,Sports,1.92,0.45,0.64,0.07
454,X360,Shooter,1.89,0.91,0.04,0.24
455,3DS,Action,1.4,0.99,0.46,0.22
456,GB,Platform,1.57,0.62,0.55,0.34
457,PC,Simulation,1.72,1.21,0.0,0.14
458,X360,Role-Playing,1.94,0.86,0.03,0.24
459,X360,Action,1.91,0.84,0.0,0.29
460,X360,Shooter,1.38,1.35,0.02,0.28
461,Wii,Platform,2.06,0.64,0.12,0.22
462,X360,Action,1.94,0.8,0.02,0.27
463,PS,Platform,1.54,1.33,0.0,0.16
464,PS3,Shooter,1.4,1.07,0.08,0.47
465,XB,Action,1.85,1.04,0.0,0.13
466,NES,Fighting,2.03,0.47,0.45,0.07
467,PS2,Sports,1.45,1.13,0.07,0.38
468,XOne,Shooter,2.38,0.32,0.0,0.31
469,X360,Sports,2.6,0.21,0.01,0.19
470,PS2,Fighting,1.15,0.0,0.76,1.09
471,PS2,Fighting,1.57,1.02,0.0,0.41
472,PS4,Action,1.01,1.41,0.05,0.53
473,SNES,Shooter,1.61,0.51,0.8,0.07
474,PC,Misc,1.67,1.18,0.0,0.13
475,PS2,Sports,0.12,1.26,1.16,0.45
476,PS2,Action,1.36,0.86,0.64,0.13
477,3DS,Simulation,0.47,1.0,1.39,0.12
478,PS3,Shooter,1.33,1.12,0.08,0.45
479,PC,Simulation,0.96,1.72,0.0,0.29
480,PC,Role-Playing,1.58,1.01,0.0,0.38
481,PS2,Platform,1.04,1.37,0.06,0.49
482,DS,Platform,1.57,0.04,1.19,0.15
483,PS2,Action,1.36,1.15,0.04,0.41
484,X360,Fighting,1.82,0.71,0.15,0.26
485,N64,Racing,1.98,0.58,0.34,0.04
486,PS2,Shooter,2.22,0.51,0.06,0.15
487,PS2,Fighting,1.45,1.11,0.04,0.33
488,PS3,Action,1.76,0.69,0.12,0.37
489,GBA,Puzzle,2.07,0.77,0.05,0.05
490,X360,Role-Playing,1.83,0.8,0.03,0.27
491,Wii,Puzzle,0.87,1.06,0.73,0.26
492,Wii,Simulation,1.43,1.13,0.05,0.3
493,GBA,Platform,1.75,0.45,0.62,0.09
494,PS4,Sports,0.61,1.85,0.11,0.33
495,XOne,Shooter,1.84,0.8,0.04,0.22
496,PS2,Misc,1.54,1.14,0.0,0.22
497,X360,Sports,1.75,0.86,0.0,0.28
498,PS2,Sports,0.08,1.24,1.13,0.45
499,PS3,Racing,0.71,1.51,0.06,0.61
500,PS2,Sports,0.99,0.32,1.38,0.2
501,PS2,Shooter,1.51,1.12,0.01,0.24
502,Wii,Sports,1.54,1.07,0.0,0.28
503,PS,Shooter,2.03,0.72,0.02,0.11
504,DS,Simulation,1.3,1.27,0.0,0.31
505,PS,Racing,0.09,2.43,0.12,0.22
506,XOne,Shooter,1.87,0.77,0.0,0.22
507,X360,Sports,2.53,0.16,0.0,0.17
508,XB,Role-Playing,2.09,0.63,0.03,0.11
509,PS3,Fighting,1.98,0.55,0.0,0.32
510,SNES,Racing,1.37,0.51,0.89,0.07
511,N64,Platform,1.29,0.53,0.98,0.05
512,PC,Strategy,1.37,1.34,0.0,0.14
513,Wii,Action,1.4,1.14,0.0,0.31
514,PS3,Sports,0.4,1.98,0.05,0.42
515,PS3,Action,1.87,0.57,0.11,0.3
516,X360,Shooter,1.65,0.86,0.05,0.28
517,X360,Sports,2.52,0.09,0.0,0.22
518,PS3,Shooter,1.28,1.05,0.07,0.43
519,PS2,Fighting,1.32,1.08,0.04,0.39
520,GC,Shooter,1.96,0.67,0.1,0.09
521,GBA,Action,1.59,1.05,0.04,0.14
522,PC,Adventure,0.02,2.79,0.0,0.0
523,PS3,Racing,1.05,1.25,0.03,0.48
524,DS,Simulation,1.32,1.19,0.0,0.3
525,PS2,Fighting,1.32,1.06,0.04,0.38
526,X360,Action,1.74,0.8,0.0,0.26
527,DS,Platform,1.47,0.07,1.1,0.15
528,PS,Sports,0.29,0.2,2.13,0.18
529,PS3,Shooter,1.45,0.88,0.09,0.38
530,PS,Platform,1.96,0.72,0.0,0.11
531,PS2,Fighting,1.19,1.15,0.04,0.41
532,SNES,Role-Playing,0.0,0.0,2.78,0.01
533,PS,Fighting,1.98,0.7,0.0,0.11
534,PC,Shooter,0.89,1.43,0.0,0.48
535,PS2,Sports,2.19,0.22,0.0,0.38
