Rank,Name,Platform,Genre,NA_Sales,EU_Sales,JP_Sales
226,Tony Hawk's Pro Skater 2,12,0,3.05,1.41,0.02
227,Animal Crossing: City Folk,0,7,1.87,1.12,1.32
228,The Lord of the Rings: The Two Towers,6,8,1.94,1.95,0.08
229,Forza Motorsport 4,4,2,2.08,2.04,0.06
230,Tomb Raider,12,8,2.29,1.97,0.13
231,Guitar Hero III: Legends of Rock,0,5,3.06,1.12,0.0
232,The Legend of Zelda: A Link to the Past,7,8,2.42,0.91,1.15
233,The Legend of Zelda: The Wind Waker,18,8,2.6,0.99,0.89
234,Mario & Sonic at the Olympic Winter Games,0,0,1.89,1.99,0.22
235,Luigi's Mansion: Dark Moon,9,8,1.78,1.39,1.1
236,Splatoon,19,6,1.55,1.15,1.44
237,The Last of Us,10,8,1.78,1.87,0.07
238,Guitar Hero III: Legends of Rock,4,5,3.19,0.92,0.01
239,Madden NFL 2005,6,0,4.18,0.26,0.01
240,Pitfall!,15,1,4.21,0.24,0.0
241,Madden NFL 07,6,0,3.63,0.24,0.01
242,Spider-Man: The Movie,6,8,2.71,1.51,0.03
243,Dragon Quest VII: Warriors of Eden,12,3,0.2,0.14,4.1
244,Uncharted: The Nathan Drake Collection,10,8,1.96,1.69,0.08
245,Call of Duty: Advanced Warfare,5,6,1.54,1.94,0.19
246,God of War,6,8,2.71,1.29,0.02
247,Nintendo Land,19,5,2.55,1.11,0.46
248,Michael Jackson: The Experience,0,5,2.67,1.35,0.01
249,Tony Hawk's Pro Skater 3,6,0,2.66,1.29,0.01
250,Winning Eleven: Pro Evolution Soccer 2007,6,0,0.1,2.39,1.05
251,The Elder Scrolls IV: Oblivion,4,3,2.82,1.05,0.13
252,Zelda II: The Adventure of Link,1,10,2.19,0.5,1.61
253,Need for Speed: Most Wanted,6,2,2.03,1.79,0.08
254,Resistance: Fall of Man,5,6,1.73,1.73,0.14
255,Sonic the Hedgehog,20,1,3.03,0.91,0.26
256,Kingdom Hearts II,6,3,2.2,0.58,1.38
257,FIFA 14,4,0,0.92,2.93,0.01
258,Call of Duty: Advanced Warfare,4,6,2.75,1.18,0.0
259,Asteroids,15,6,4.0,0.26,0.0
260,Fable II,4,3,2.51,1.27,0.11
261,Halo 5: Guardians,17,6,2.64,1.2,0.03
262,Super Mario 3D World,19,1,2.11,1.11,0.72
263,Batman: Arkham Asylum,5,8,2.23,1.34,0.07
264,Assassin's Creed: Revelations,5,8,1.41,2.02,0.1
265,Namco Museum,8,5,3.0,1.11,0.05
266,Metal Gear Solid 3: Snake Eater,6,8,1.46,0.0,0.83
267,Daxter,16,1,2.45,1.02,0.0
268,Warcraft II: Tides of Darkness,14,11,1.7,2.27,0.0
269,The Legend of Zelda: Ocarina of Time,9,8,2.03,1.27,0.62
270,FIFA Soccer 06,6,0,0.78,2.55,0.04
271,EyeToy Play,6,5,0.88,2.3,0.2
272,Uncharted 4: A Thief's End,10,6,1.3,2.07,0.18
273,Gran Turismo 5 Prologue,5,2,1.28,1.83,0.57
274,Assassin's Creed: Revelations,4,8,2.25,1.47,0.04
275,Street Fighter IV,5,9,2.02,1.06,0.58
276,FIFA 12,4,0,0.84,2.79,0.02
277,Teenage Mutant Ninja Turtles,1,8,3.38,0.44,0.31
278,Excitebike,1,2,2.04,0.48,1.57
279,Frogger,12,8,3.79,0.27,0.0
280,Madden NFL 2003,6,0,3.36,0.21,0.01
281,Watch Dogs,10,8,1.4,1.86,0.11
282,Half-Life,14,6,4.03,0.0,0.09
283,Super Mario World 2: Yoshi's Island,7,1,1.65,0.61,1.76
284,FIFA Soccer 07,6,0,0.71,2.48,0.03
285,The Legend of Zelda: Skyward Sword,0,8,2.14,1.2,0.37
286,Street Fighter II Turbo,7,9,1.42,0.51,2.1
287,Carnival Games,0,5,2.13,1.5,0.05
288,Fallout 4,17,3,2.45,1.26,0.01
289,World of Warcraft: The Burning Crusade,14,3,2.57,1.52,0.0
290,Fallout: New Vegas,4,3,2.65,1.06,0.04
291,God of War II,6,8,2.32,0.04,0.04
292,Forza Motorsport 2,4,2,2.35,1.28,0.03
293,World Soccer Winning Eleven 9,6,0,0.12,2.26,0.9
294,Namco Museum Vol.3,12,5,2.28,1.55,0.16
295,Tekken Tag Tournament,6,9,1.68,1.51,0.51
296,Far Cry 4,10,6,1.12,2.12,0.1
297,Star Fox 64,11,6,2.78,0.58,0.64
298,Minecraft,10,5,1.38,1.87,0.12
299,Golf,1,0,1.22,0.28,2.46
300,Fallout 3,5,3,2.15,1.2,0.07
301,Professor Layton and the Diabolical Box,3,4,0.92,1.78,0.92
302,Left 4 Dead 2,4,6,2.67,0.89,0.05
303,Namco Museum: 50th Anniversary,6,5,2.08,1.35,0.0
304,EA Sports Active,0,0,2.1,1.36,0.06
305,Assassin's Creed: Unity,10,8,1.18,1.96,0.08
306,Donkey Kong Land,2,1,1.97,0.76,1.07
307,Tony Hawk's Underground,6,0,2.29,1.17,0.01
308,Assassin's Creed IV: Black Flag,5,8,1.33,1.71,0.13
309,Monster Hunter 4 Ultimate,9,3,0.67,0.49,2.62
310,MotorStorm,5,2,1.53,1.61,0.06
311,The Elder Scrolls V: Skyrim,14,3,1.15,2.09,0.0
312,Tekken 5,6,9,0.93,1.94,0.31
313,Dragon Warrior III,1,3,0.1,0.0,3.77
314,Sports Champions,5,0,2.12,1.14,0.1
315,NBA 2K16,10,0,2.48,0.65,0.03
316,World Soccer Winning Eleven 8 International,6,0,0.16,1.89,1.12
317,Flash Focus: Vision Training in Minutes a Day,3,5,0.87,1.57,1.05
318,Namco Museum Vol.1,12,5,2.12,1.44,0.22
319,The Legend of Zelda: Link's Awakening,2,8,2.21,0.96,0.54
320,Mario & Luigi: Bowser's Inside Story,3,3,2.26,0.48,0.81
321,Big Brain Academy: Wii Degree,0,5,1.06,1.93,0.41
322,Nintendogs + cats,9,7,1.44,1.37,0.73
323,Batman: Arkham Knight,10,8,1.49,1.58,0.1
324,Mario & Sonic at the London 2012 Olympic Games,0,0,1.14,1.91,0.27
325,LEGO Indiana Jones: The Original Adventures,4,8,2.4,1.03,0.0
326,Resident Evil Director's Cut,12,8,1.82,1.24,0.47
327,Ratchet & Clank: Size Matters,16,1,1.4,1.4,0.1
328,Just Dance 2014,0,5,1.98,1.47,0.0
329,The Sims: Unleashed,14,7,2.03,1.56,0.0
330,Super Paper Mario,0,1,1.98,0.88,0.59
331,Harry Potter and the Sorcerer's Stone,12,8,1.37,2.0,0.14
332,The Witcher 3: Wild Hunt,10,3,0.96,2.0,0.21
333,Resident Evil 3: Nemesis,12,8,1.3,0.77,1.54
334,Spyro: Year of the Dragon,12,1,1.93,1.58,0.0
335,FIFA Soccer 2005,6,0,0.58,2.48,0.04
336,Pokémon Trading Card Game,2,11,1.49,0.73,1.38
337,Battlefield 4,5,6,1.3,1.51,0.27
338,MySims,3,7,1.59,1.61,0.08
339,Friend Collection,3,5,0.0,0.0,3.67
340,Tony Hawk's Pro Skater 4,6,0,2.13,1.18,0.01
341,Midnight Club 3: DUB Edition,16,2,1.65,1.22,0.0
342,Banjo-Kazooie,11,1,1.87,1.13,0.55
343,SOCOM: U.S. Navy SEALs,6,6,2.53,0.81,0.06
344,Guitar Hero: World Tour,0,5,2.33,0.97,0.0
345,Gran Turismo 6,5,2,0.71,1.8,0.4
346,Jak and Daxter: The Precursor Legacy,6,1,2.08,1.09,0.15
347,Pokemon Snap,11,7,2.23,0.68,0.66
348,FIFA Soccer 10,5,0,0.6,2.46,0.05
349,Pro Evolution Soccer 2008,6,0,0.05,0.0,0.64
350,Call of Duty: Ghosts,10,6,1.78,1.42,0.05
351,Resident Evil 4,6,8,2.08,0.83,0.46
352,Tom Clancy's The Division,10,6,1.28,1.61,0.15
353,Star Wars: Battlefront,6,6,1.93,1.22,0.03
354,Doom II: Hell on Earth,14,6,2.05,1.4,0.0
355,The Simpsons: Road Rage,6,2,2.02,1.17,0.0
356,Cooking Mama 2: Dinner With Friends,3,7,1.61,1.5,0.1
357,Luigi's Mansion,18,8,2.38,0.67,0.46
358,Star Wars: Battlefront II,6,6,2.18,1.02,0.03
359,WWF SmackDown!,12,9,2.01,1.35,0.06
360,Croc: Legend of the Gobbos,12,1,1.57,1.79,0.0
361,Grand Theft Auto: Liberty City Stories,6,8,1.56,1.4,0.07
362,The Getaway,6,8,1.23,1.77,0.05
363,Tomb Raider III: Adventures of Lara Croft,12,8,1.66,1.58,0.12
364,James Bond 007: Agent Under Fire,6,6,1.9,1.13,0.1
365,LEGO Star Wars: The Video Game,6,8,1.98,1.14,0.01
366,Battlefield 4,4,6,2.14,1.08,0.02
367,FIFA Soccer 11,4,0,0.71,2.4,0.02
368,Rugrats in Paris: The Movie,12,8,1.96,1.33,0.0
369,Spyro 2: Ripto's Rage!,12,1,2.14,1.21,0.01
370,Left 4 Dead,4,6,2.66,0.5,0.05
371,Mario & Sonic at the Olympic Winter Games,3,0,1.22,1.66,0.27
372,Resident Evil 5,4,8,2.11,0.94,0.12
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,7,1,1.17,0.5,1.75
374,Assassin's Creed: Brotherhood,4,8,2.84,0.39,0.03
375,Kung Fu,1,8,1.64,0.38,1.42
376,Batman: Arkham Asylum,4,8,2.2,0.97,0.02
377,Clubhouse Games,3,5,0.59,1.83,0.73
378,FIFA Soccer 2004,6,0,0.59,2.36,0.04
379,Star Wars Battlefront (2015),17,6,1.94,1.22,0.02
380,Battlefield: Bad Company 2,4,6,2.09,1.02,0.04
381,Guitar Hero: On Tour,3,5,2.11,1.01,0.01
382,Assassin's Creed: Unity,17,8,2.26,0.89,0.0
383,Far Cry 3,5,6,0.88,1.75,0.1
384,Monster Hunter 4,9,3,0.0,0.0,3.44
385,Borderlands,4,6,2.39,0.73,0.03
386,Tekken 4,6,9,1.55,1.27,0.33
387,Battlefield 4,10,6,1.34,1.54,0.17
388,LittleBigPlanet 2,5,1,1.82,1.07,0.06
389,Grand Theft Auto 2,12,8,1.13,2.07,0.0
390,Final Fantasy III,7,3,0.86,0.0,2.55
391,Spider-Man 2,6,8,1.75,1.2,0.02
392,F-1 Race,2,2,1.73,0.69,0.59
393,FIFA Soccer 2003,6,0,0.46,2.28,0.05
394,Crash Bash,12,5,1.56,1.47,0.19
395,LEGO Batman: The Videogame,4,8,2.03,1.03,0.0
396,Metal Gear Solid V: The Phantom Pain,10,8,1.08,1.35,0.48
397,The Legend of Zelda: Spirit Tracks,3,8,1.43,0.94,0.74
398,WWF War Zone,12,9,2.47,0.76,0.0
399,The Legend of Zelda: Majora's Mask,11,8,1.9,0.67,0.73
400,Professor Layton and the Unwound Future,3,4,0.65,1.61,0.82
401,Rugrats: Search For Reptar,12,10,1.63,1.53,0.0
402,Assassin's Creed IV: Black Flag,4,8,1.9,1.14,0.01
403,English Training: Have Fun Improving Your Skills!,3,5,0.0,0.99,2.32
404,James Bond 007: Nightfire,6,6,1.45,1.29,0.12
405,Ratchet & Clank,6,1,1.44,1.01,0.57
406,Mario Party 9,0,5,1.15,1.17,0.76
407,Star Wars Episode III: Revenge of the Sith,6,8,1.47,1.39,0.03
408,Max Payne,6,6,1.99,1.05,0.05
409,The Lord of the Rings: The Return of the King,6,8,1.5,1.28,0.05
410,Assassin's Creed Syndicate,10,8,0.8,1.92,0.06
411,Destiny,17,6,2.13,0.92,0.0
412,True Crime: Streets of LA,6,8,1.89,1.05,0.02
413,Wii Music,0,5,1.36,1.13,0.46
414,Gran Turismo (PSP),16,2,0.5,1.59,0.31
415,Monster Hunter X,9,8,0.25,0.19,2.78
416,Tekken,12,9,0.95,1.3,0.77
417,FIFA 16,17,0,0.88,2.11,0.0
418,L.A. Noire,5,10,1.27,1.33,0.12
419,Madden NFL 16,10,0,2.33,0.3,0.0
420,Yokai Watch 2 Ganso/Honke,9,3,0.03,0.0,3.18
421,007: Tomorrow Never Dies,12,6,1.72,1.33,0.0
422,Baseball,1,0,0.73,0.1,2.35
423,Killer Instinct,7,9,2.26,0.72,0.12
424,WWF SmackDown! 2: Know Your Role,12,9,1.76,1.21,0.07
425,Crisis Core: Final Fantasy VII,16,3,1.35,0.6,0.8
426,God of War: Chains of Olympus,16,8,1.48,1.01,0.04
427,Dragon Quest VI: Maboroshi no Daichi,7,3,0.0,0.0,3.19
428,Dance Central,4,5,2.15,0.77,0.01
429,Enter the Matrix,6,8,1.78,1.12,0.09
430,Super Mario Maker,19,1,1.18,0.87,0.93
431,Fallout: New Vegas,5,3,1.52,1.08,0.1
432,LEGO Batman: The Videogame,0,8,1.86,1.02,0.0
433,Rhythm Heaven,3,5,0.58,0.51,1.93
434,Ace Combat 04: Shattered Skies,6,7,2.06,0.56,0.38
435,Club Penguin: Elite Penguin Force,3,10,1.88,0.98,0.0
436,Animal Crossing,18,7,1.92,0.16,0.99
437,LEGO Batman: The Videogame,3,8,1.79,1.06,0.0
438,Sonic Rush,3,1,1.22,1.57,0.06
439,Resident Evil 6,5,6,0.88,0.97,0.88
440,Halo: The Master Chief Collection,17,6,1.89,0.99,0.03
441,FIFA Soccer 08,6,0,0.68,0.0,0.0
442,Spider-Man,12,8,1.7,1.25,0.02
443,Need for Speed III: Hot Pursuit,12,2,2.14,0.86,0.0
444,Star Wars Episode I Racer,11,2,2.31,0.62,0.14
445,Personal Trainer: Cooking,3,5,0.91,1.0,1.03
446,The Elder Scrolls IV: Oblivion,5,3,1.69,0.87,0.14
447,Dragon Warrior IV,1,3,0.08,0.0,3.03
448,Heavy Rain,5,10,1.29,1.27,0.06
449,Mass Effect 2,4,3,1.99,0.82,0.03
450,FIFA 15,4,0,0.78,2.02,0.0
451,Dragon Ball Z: Budokai,6,9,2.17,0.28,0.55
452,Madden NFL 2002,6,0,2.5,0.16,0.01
453,World Class Track Meet,1,0,1.92,0.45,0.64
454,Borderlands 2,4,6,1.89,0.91,0.04
455,The Legend of Zelda: A Link Between Worlds,9,8,1.4,0.99,0.46
456,Donkey Kong,2,1,1.57,0.62,0.55
457,The Sims: Vacation,14,7,1.72,1.21,0.0
458,Mass Effect 3,4,3,1.94,0.86,0.03
459,Kung Fu Panda,4,8,1.91,0.84,0.0
460,Far Cry 3,4,6,1.38,1.35,0.02
461,Epic Mickey,0,1,2.06,0.64,0.12
462,Saints Row 2,4,8,1.94,0.8,0.02
463,Rayman,12,1,1.54,1.33,0.0
